condition,sample_id,fold,repeat,k,valid_pixels,used_clusters,max_occupancy,single_cluster,cluster_counts
B0,KYOw02775,1,1,2,51705,2,0.876414273281114,False,"[6390, 45315]"
B0,KYOw02775,1,1,4,51705,4,0.5802727008993328,False,"[30003, 12541, 8073, 1088]"
B0,KYOw02775,1,1,6,51705,6,0.535963639880089,False,"[1095, 9254, 27712, 209, 9756, 3679]"
B0,KYOw02775,1,1,8,51705,8,0.44968571704864135,False,"[9521, 69, 7549, 3357, 23251, 7710, 31, 217]"
B0,KYOw02775,1,1,10,51705,10,0.3547432550043516,False,"[18342, 640, 13121, 1, 4390, 6283, 4510, 42, 18, 4358]"
B0,KYOw02775,1,1,12,51705,12,0.2887535054636882,False,"[4363, 6, 7307, 3, 200, 1881, 12076, 14930, 1, 6013, 4803, 122]"
B0,KYOw02775,1,1,14,51705,13,0.22489120974760662,False,"[10652, 3, 3667, 0, 755, 1845, 3, 11463, 117, 3396, 204, 3855, 4117, 11628]"
B0,KYOw02776,1,1,2,91475,2,0.7536048100573928,False,"[22539, 68936]"
B0,KYOw02776,1,1,4,91475,4,0.532691992347636,False,"[48728, 31721, 5441, 5585]"
B0,KYOw02776,1,1,6,91475,6,0.4480896419786827,False,"[5438, 17184, 40989, 1562, 26070, 232]"
B0,KYOw02776,1,1,8,91475,8,0.37633233123804316,False,"[22529, 231, 2563, 10844, 34425, 19237, 7, 1639]"
B0,KYOw02776,1,1,10,91475,10,0.3170046460781634,False,"[23889, 2824, 28998, 1, 14216, 774, 13265, 89, 610, 6809]"
B0,KYOw02776,1,1,12,91475,10,0.29979775895053296,False,"[11727, 0, 27424, 267, 1332, 6188, 5265, 22065, 0, 643, 15949, 615]"
B0,KYOw02776,1,1,14,91475,12,0.23427165892320306,False,"[2018, 0, 21430, 0, 16172, 6051, 283, 20486, 538, 4551, 1331, 12934, 219, 5462]"
B0,KYOw16719,1,1,2,81497,2,0.9596672270144914,False,"[3287, 78210]"
B0,KYOw16719,1,1,4,81497,4,0.891996024393536,False,"[72695, 6571, 1627, 604]"
B0,KYOw16719,1,1,6,81497,6,0.754089107574512,False,"[689, 14249, 61456, 68, 4910, 125]"
B0,KYOw16719,1,1,8,81497,8,0.4712688810631066,False,"[38407, 23, 859, 1744, 37164, 3240, 1, 59]"
B0,KYOw16719,1,1,10,81497,9,0.6402444261751966,False,"[52178, 276, 18029, 0, 2463, 457, 7747, 11, 5, 331]"
B0,KYOw16719,1,1,12,81497,10,0.6088690381241028,False,"[5491, 3, 22042, 0, 48, 995, 221, 49621, 0, 397, 2640, 39]"
B0,KYOw16719,1,1,14,81497,12,0.4133280979667963,False,"[336, 3, 12572, 0, 33685, 967, 0, 30309, 34, 1255, 50, 1900, 114, 272]"
B0,KYOw02707,1,2,2,115078,2,0.9803003180451519,False,"[2267, 112811]"
B0,KYOw02707,1,2,4,115078,4,0.5500530075253306,False,"[47842, 3228, 709, 63299]"
B0,KYOw02707,1,2,6,115078,6,0.8861120283633709,False,"[162, 647, 9651, 160, 101972, 2486]"
B0,KYOw02707,1,2,8,115078,8,0.6721614904673352,False,"[6937, 1183, 77351, 2285, 209, 1, 156, 26956]"
B0,KYOw02707,1,2,10,115078,10,0.8243626062322946,False,"[94866, 1, 7093, 900, 19, 6783, 2461, 140, 1538, 1277]"
B0,KYOw02707,1,2,12,115078,12,0.8037678791776013,False,"[65, 13481, 231, 1466, 4199, 1, 1024, 92496, 26, 958, 5, 1126]"
B0,KYOw02707,1,2,14,115078,14,0.7769078364239906,False,"[12608, 1722, 1266, 3, 124, 3, 24, 1187, 1, 71, 7631, 649, 384, 89405]"
B0,KYOw02720,1,2,2,131174,2,0.989250918627167,False,"[1410, 129764]"
B0,KYOw02720,1,2,4,131174,4,0.5659124521627762,False,"[54018, 2659, 264, 74233]"
B0,KYOw02720,1,2,6,131174,6,0.7731943830332231,False,"[8875, 287, 18649, 11, 101423, 1929]"
B0,KYOw02720,1,2,8,131174,8,0.5534938326192691,False,"[14039, 839, 72604, 1820, 10, 66, 12, 41784]"
B0,KYOw02720,1,2,10,131174,8,0.616120572674463,False,"[80819, 4, 2155, 529, 0, 25862, 3949, 0, 17129, 727]"
B0,KYOw02720,1,2,12,131174,10,0.6271364752161251,False,"[0, 24344, 40, 772, 1695, 3, 5376, 82264, 0, 692, 11, 15977]"
B0,KYOw02720,1,2,14,131174,12,0.5640675743668715,False,"[33190, 373, 6687, 0, 1, 11, 0, 1036, 2, 2, 3169, 376, 12336, 73991]"
B0,KYOw02751,1,2,2,71469,2,0.9159495725419413,False,"[6007, 65462]"
B0,KYOw02751,1,2,4,71469,4,0.8068952972617498,False,"[57668, 9031, 1176, 3594]"
B0,KYOw02751,1,2,6,71469,6,0.6047377184513565,False,"[7, 1531, 43220, 95, 19684, 6932]"
B0,KYOw02751,1,2,8,71469,7,0.4975164057143657,False,"[35557, 3247, 25487, 5847, 399, 0, 96, 836]"
B0,KYOw02751,1,2,10,71469,9,0.6122514656704305,False,"[9067, 0, 896, 1127, 342, 43757, 11577, 64, 85, 4554]"
B0,KYOw02751,1,2,12,71469,11,0.4873861394450741,False,"[6, 34833, 176, 4203, 1323, 0, 18730, 9812, 433, 1850, 34, 69]"
B0,KYOw02751,1,2,14,71469,12,0.47810939008521175,False,"[34170, 2368, 22763, 68, 73, 26, 0, 3533, 0, 1104, 1324, 485, 27, 5528]"
B0,KYOw02752,1,2,2,117193,2,0.9743926685040916,False,"[3001, 114192]"
B0,KYOw02752,1,2,4,117193,4,0.7651310231839785,False,"[89668, 6837, 768, 19920]"
B0,KYOw02752,1,2,6,117193,6,0.5582159343988122,False,"[2896, 694, 43352, 166, 65419, 4666]"
B0,KYOw02752,1,2,8,117193,8,0.5761521592586588,False,"[31043, 1460, 67521, 5213, 128, 10, 171, 11647]"
