fold,repeat,k,reference,target,b1_raw_id,b0_display_id,overlap_pixels,zero_overlap,fold_valid_pixels,fold_overlap_fraction,fold_sample_ids,overlap_b0_id_1,overlap_b0_id_2,overlap_b0_id_3,overlap_b0_id_4,overlap_b0_id_5,overlap_b0_id_6,overlap_b0_id_7,overlap_b0_id_8,a0_raw_id,m00_raw_id
3,1,8,B0,B1,3.0,4,0,True,667682,0.49274055613300943,"[""KYOw02715"", ""KYOw02716"", ""KYOw02717"", ""KYOw02756"", ""KYOw02758"", ""KYOw02760"", ""KYOw02780"", ""KYOw02784"", ""KYOw02790"", ""KYOw16702""]",53165,0,0,0,27919,0,0,0,,
3,1,8,B0,B1,6.0,5,56404,False,667682,0.49274055613300943,"[""KYOw02715"", ""KYOw02716"", ""KYOw02717"", ""KYOw02756"", ""KYOw02758"", ""KYOw02760"", ""KYOw02780"", ""KYOw02784"", ""KYOw02790"", ""KYOw16702""]",11314,0,0,0,56404,0,105,0,,
3,1,8,B0,B1,1.0,6,0,True,667682,0.49274055613300943,"[""KYOw02715"", ""KYOw02716"", ""KYOw02717"", ""KYOw02756"", ""KYOw02758"", ""KYOw02760"", ""KYOw02780"", ""KYOw02784"", ""KYOw02790"", ""KYOw16702""]",53433,0,1620,0,10,0,0,0,,
3,1,8,B0,B1,4.0,7,24998,False,667682,0.49274055613300943,"[""KYOw02715"", ""KYOw02716"", ""KYOw02717"", ""KYOw02756"", ""KYOw02758"", ""KYOw02760"", ""KYOw02780"", ""KYOw02784"", ""KYOw02790"", ""KYOw16702""]",0,10528,0,0,27917,1837,24998,3086,,
3,1,8,B0,B1,7.0,8,0,True,667682,0.49274055613300943,"[""KYOw02715"", ""KYOw02716"", ""KYOw02717"", ""KYOw02756"", ""KYOw02758"", ""KYOw02760"", ""KYOw02780"", ""KYOw02784"", ""KYOw02790"", ""KYOw16702""]",14497,0,199,0,4175,0,528,0,,
4,1,8,B0,B1,4.0,1,79435,False,750105,0.4734390518660721,"[""KYOw02702"", ""KYOw02708"", ""KYOw02768"", ""KYOw02772"", ""KYOw02787"", ""KYOw16662"", ""KYOw16666"", ""KYOw16700"", ""KYOw16737"", ""KYOw16744""]",79435,0,0,21446,0,0,18,0,,
4,1,8,B0,B1,1.0,2,0,True,750105,0.4734390518660721,"[""KYOw02702"", ""KYOw02708"", ""KYOw02768"", ""KYOw02772"", ""KYOw02787"", ""KYOw16662"", ""KYOw16666"", ""KYOw16700"", ""KYOw16737"", ""KYOw16744""]",30304,0,0,0,0,11998,0,0,,
4,1,8,B0,B1,3.0,3,32028,False,750105,0.4734390518660721,"[""KYOw02702"", ""KYOw02708"", ""KYOw02768"", ""KYOw02772"", ""KYOw02787"", ""KYOw16662"", ""KYOw16666"", ""KYOw16700"", ""KYOw16737"", ""KYOw16744""]",2673,806,32028,0,7768,37544,0,7209,,
4,1,8,B0,B1,6.0,4,191846,False,750105,0.4734390518660721,"[""KYOw02702"", ""KYOw02708"", ""KYOw02768"", ""KYOw02772"", ""KYOw02787"", ""KYOw16662"", ""KYOw16666"", ""KYOw16700"", ""KYOw16737"", ""KYOw16744""]",106350,0,0,191846,0,0,7347,0,,
4,1,8,B0,B1,2.0,5,7,False,750105,0.4734390518660721,"[""KYOw02702"", ""KYOw02708"", ""KYOw02768"", ""KYOw02772"", ""KYOw02787"", ""KYOw16662"", ""KYOw16666"", ""KYOw16700"", ""KYOw16737"", ""KYOw16744""]",9546,0,35,0,7,18585,0,0,,
4,1,8,B0,B1,5.0,6,51813,False,750105,0.4734390518660721,"[""KYOw02702"", ""KYOw02708"", ""KYOw02768"", ""KYOw02772"", ""KYOw02787"", ""KYOw16662"", ""KYOw16666"", ""KYOw16700"", ""KYOw16737"", ""KYOw16744""]",94,6764,17754,0,16530,51813,0,1112,,
4,1,8,B0,B1,7.0,7,0,True,750105,0.4734390518660721,"[""KYOw02702"", ""KYOw02708"", ""KYOw02768"", ""KYOw02772"", ""KYOw02787"", ""KYOw16662"", ""KYOw16666"", ""KYOw16700"", ""KYOw16737"", ""KYOw16744""]",44129,0,2,9403,0,1751,0,0,,
4,1,8,B0,B1,8.0,8,0,True,750105,0.4734390518660721,"[""KYOw02702"", ""KYOw02708"", ""KYOw02768"", ""KYOw02772"", ""KYOw02787"", ""KYOw16662"", ""KYOw16666"", ""KYOw16700"", ""KYOw16737"", ""KYOw16744""]",35797,0,0,9,0,2,0,0,,
5,1,8,B0,B1,1.0,1,81787,False,796370,0.5477152579830983,"[""KYOw02709"", ""KYOw02719"", ""KYOw02759"", ""KYOw02767"", ""KYOw02773"", ""KYOw02777"", ""KYOw02783"", ""KYOw02788"", ""KYOw16711""]",81787,10,4807,430,12658,21183,0,0,,
5,1,8,B0,B1,7.0,2,113664,False,796370,0.5477152579830983,"[""KYOw02709"", ""KYOw02719"", ""KYOw02759"", ""KYOw02767"", ""KYOw02773"", ""KYOw02777"", ""KYOw02783"", ""KYOw02788"", ""KYOw16711""]",0,113664,0,0,0,35,37,23094,,
5,1,8,B0,B1,2.0,3,0,True,796370,0.5477152579830983,"[""KYOw02709"", ""KYOw02719"", ""KYOw02759"", ""KYOw02767"", ""KYOw02773"", ""KYOw02777"", ""KYOw02783"", ""KYOw02788"", ""KYOw16711""]",0,63296,0,0,0,2983,0,4,,
