feature_index,mean,pc1,pc2
0,0.29525581714998916,-0.06506745289409914,-0.08139838847127359
1,0.30477894114403886,-0.1374360141645723,0.016707343391884455
2,-0.3130990745218948,-0.01400374558268827,0.29786866672913326
3,-0.21124237492417766,0.14132423636938773,-0.02997456139000701
4,-0.10810623383695515,-0.08531256513117624,0.1550872425838028
5,-0.10886666799552427,0.6030073899723746,-0.39283369128959517
6,-0.2120111939501702,0.00184574175595012,0.22064846040685065
7,-0.192010189489593,-0.04203800845951464,0.321841453979862
8,0.2831618952630982,-0.3229577880224836,-0.20349663502504287
9,-0.3292995667747573,0.10150014328967301,0.09932106280124392
10,0.15034560488798754,0.4734881954486493,0.46530597070796853
11,0.15871825056017097,-0.4739043387910982,0.10108247102034984
12,0.1261738389982993,0.015400825792376241,-0.413504279941901
13,-0.16055822549714469,0.13474771079472048,0.07756980968281962
14,0.24780597423203155,0.04563870924732942,0.3308919533625563
15,0.3686711044185221,0.013592225445220943,0.09131104898189013
