fold,repeat,k,reference,target,b1_raw_id,b0_display_id,overlap_pixels,zero_overlap,fold_valid_pixels,fold_overlap_fraction,fold_sample_ids,overlap_b0_id_1,overlap_b0_id_2,overlap_b0_id_3,overlap_b0_id_4,overlap_b0_id_5,overlap_b0_id_6,overlap_b0_id_7,overlap_b0_id_8
2,1,8,B0,B1,1,4,160367,False,781665,0.4645890502964825,"[""KYOw02754"", ""KYOw02762"", ""KYOw02763"", ""KYOw02764"", ""KYOw02770"", ""KYOw02771"", ""KYOw02789"", ""KYOw16714"", ""KYOw16716"", ""KYOw16750""]",130535,0,0,160367,0,17506,0,0
2,1,8,B0,B1,4,5,0,True,781665,0.4645890502964825,"[""KYOw02754"", ""KYOw02762"", ""KYOw02763"", ""KYOw02764"", ""KYOw02770"", ""KYOw02771"", ""KYOw02789"", ""KYOw16714"", ""KYOw16716"", ""KYOw16750""]",3102,0,3,15656,0,14458,0,0
2,1,8,B0,B1,8,6,86333,False,781665,0.4645890502964825,"[""KYOw02754"", ""KYOw02762"", ""KYOw02763"", ""KYOw02764"", ""KYOw02770"", ""KYOw02771"", ""KYOw02789"", ""KYOw16714"", ""KYOw16716"", ""KYOw16750""]",1,0,0,32718,0,86333,0,0
2,1,8,B0,B1,5,7,223,False,781665,0.4645890502964825,"[""KYOw02754"", ""KYOw02762"", ""KYOw02763"", ""KYOw02764"", ""KYOw02770"", ""KYOw02771"", ""KYOw02789"", ""KYOw16714"", ""KYOw16716"", ""KYOw16750""]",0,0,7812,0,0,19509,223,0
2,1,8,B0,B1,7,8,71522,False,781665,0.4645890502964825,"[""KYOw02754"", ""KYOw02762"", ""KYOw02763"", ""KYOw02764"", ""KYOw02770"", ""KYOw02771"", ""KYOw02789"", ""KYOw16714"", ""KYOw16716"", ""KYOw16750""]",0,42424,32910,0,1995,3205,12077,71522
3,1,8,B0,B1,2,1,159596,False,667682,0.49274055613300943,"[""KYOw02715"", ""KYOw02716"", ""KYOw02717"", ""KYOw02756"", ""KYOw02758"", ""KYOw02760"", ""KYOw02780"", ""KYOw02784"", ""KYOw02790"", ""KYOw16702""]",159596,0,6748,14,0,0,0,0
3,1,8,B0,B1,5,2,4209,False,667682,0.49274055613300943,"[""KYOw02715"", ""KYOw02716"", ""KYOw02717"", ""KYOw02756"", ""KYOw02758"", ""KYOw02760"", ""KYOw02780"", ""KYOw02784"", ""KYOw02790"", ""KYOw16702""]",2,4209,0,0,55464,0,4981,512
3,1,8,B0,B1,8,3,83787,False,667682,0.49274055613300943,"[""KYOw02715"", ""KYOw02716"", ""KYOw02717"", ""KYOw02756"", ""KYOw02758"", ""KYOw02760"", ""KYOw02780"", ""KYOw02784"", ""KYOw02790"", ""KYOw16702""]",56817,0,83787,3817,0,0,0,0
3,1,8,B0,B1,3,4,0,True,667682,0.49274055613300943,"[""KYOw02715"", ""KYOw02716"", ""KYOw02717"", ""KYOw02756"", ""KYOw02758"", ""KYOw02760"", ""KYOw02780"", ""KYOw02784"", ""KYOw02790"", ""KYOw16702""]",53165,0,0,0,27919,0,0,0
3,1,8,B0,B1,6,5,56404,False,667682,0.49274055613300943,"[""KYOw02715"", ""KYOw02716"", ""KYOw02717"", ""KYOw02756"", ""KYOw02758"", ""KYOw02760"", ""KYOw02780"", ""KYOw02784"", ""KYOw02790"", ""KYOw16702""]",11314,0,0,0,56404,0,105,0
3,1,8,B0,B1,1,6,0,True,667682,0.49274055613300943,"[""KYOw02715"", ""KYOw02716"", ""KYOw02717"", ""KYOw02756"", ""KYOw02758"", ""KYOw02760"", ""KYOw02780"", ""KYOw02784"", ""KYOw02790"", ""KYOw16702""]",53433,0,1620,0,10,0,0,0
3,1,8,B0,B1,4,7,24998,False,667682,0.49274055613300943,"[""KYOw02715"", ""KYOw02716"", ""KYOw02717"", ""KYOw02756"", ""KYOw02758"", ""KYOw02760"", ""KYOw02780"", ""KYOw02784"", ""KYOw02790"", ""KYOw16702""]",0,10528,0,0,27917,1837,24998,3086
3,1,8,B0,B1,7,8,0,True,667682,0.49274055613300943,"[""KYOw02715"", ""KYOw02716"", ""KYOw02717"", ""KYOw02756"", ""KYOw02758"", ""KYOw02760"", ""KYOw02780"", ""KYOw02784"", ""KYOw02790"", ""KYOw16702""]",14497,0,199,0,4175,0,528,0
4,1,8,B0,B1,4,1,79435,False,750105,0.4734390518660721,"[""KYOw02702"", ""KYOw02708"", ""KYOw02768"", ""KYOw02772"", ""KYOw02787"", ""KYOw16662"", ""KYOw16666"", ""KYOw16700"", ""KYOw16737"", ""KYOw16744""]",79435,0,0,21446,0,0,18,0
4,1,8,B0,B1,1,2,0,True,750105,0.4734390518660721,"[""KYOw02702"", ""KYOw02708"", ""KYOw02768"", ""KYOw02772"", ""KYOw02787"", ""KYOw16662"", ""KYOw16666"", ""KYOw16700"", ""KYOw16737"", ""KYOw16744""]",30304,0,0,0,0,11998,0,0
4,1,8,B0,B1,3,3,32028,False,750105,0.4734390518660721,"[""KYOw02702"", ""KYOw02708"", ""KYOw02768"", ""KYOw02772"", ""KYOw02787"", ""KYOw16662"", ""KYOw16666"", ""KYOw16700"", ""KYOw16737"", ""KYOw16744""]",2673,806,32028,0,7768,37544,0,7209
4,1,8,B0,B1,6,4,191846,False,750105,0.4734390518660721,"[""KYOw02702"", ""KYOw02708"", ""KYOw02768"", ""KYOw02772"", ""KYOw02787"", ""KYOw16662"", ""KYOw16666"", ""KYOw16700"", ""KYOw16737"", ""KYOw16744""]",106350,0,0,191846,0,0,7347,0
4,1,8,B0,B1,2,5,7,False,750105,0.4734390518660721,"[""KYOw02702"", ""KYOw02708"", ""KYOw02768"", ""KYOw02772"", ""KYOw02787"", ""KYOw16662"", ""KYOw16666"", ""KYOw16700"", ""KYOw16737"", ""KYOw16744""]",9546,0,35,0,7,18585,0,0
4,1,8,B0,B1,5,6,51813,False,750105,0.4734390518660721,"[""KYOw02702"", ""KYOw02708"", ""KYOw02768"", ""KYOw02772"", ""KYOw02787"", ""KYOw16662"", ""KYOw16666"", ""KYOw16700"", ""KYOw16737"", ""KYOw16744""]",94,6764,17754,0,16530,51813,0,1112
4,1,8,B0,B1,7,7,0,True,750105,0.4734390518660721,"[""KYOw02702"", ""KYOw02708"", ""KYOw02768"", ""KYOw02772"", ""KYOw02787"", ""KYOw16662"", ""KYOw16666"", ""KYOw16700"", ""KYOw16737"", ""KYOw16744""]",44129,0,2,9403,0,1751,0,0
4,1,8,B0,B1,8,8,0,True,750105,0.4734390518660721,"[""KYOw02702"", ""KYOw02708"", ""KYOw02768"", ""KYOw02772"", ""KYOw02787"", ""KYOw16662"", ""KYOw16666"", ""KYOw16700"", ""KYOw16737"", ""KYOw16744""]",35797,0,0,9,0,2,0,0
5,1,8,B0,B1,1,1,81787,False,796370,0.5477152579830983,"[""KYOw02709"", ""KYOw02719"", ""KYOw02759"", ""KYOw02767"", ""KYOw02773"", ""KYOw02777"", ""KYOw02783"", ""KYOw02788"", ""KYOw16711""]",81787,10,4807,430,12658,21183,0,0
5,1,8,B0,B1,7,2,113664,False,796370,0.5477152579830983,"[""KYOw02709"", ""KYOw02719"", ""KYOw02759"", ""KYOw02767"", ""KYOw02773"", ""KYOw02777"", ""KYOw02783"", ""KYOw02788"", ""KYOw16711""]",0,113664,0,0,0,35,37,23094
5,1,8,B0,B1,2,3,0,True,796370,0.5477152579830983,"[""KYOw02709"", ""KYOw02719"", ""KYOw02759"", ""KYOw02767"", ""KYOw02773"", ""KYOw02777"", ""KYOw02783"", ""KYOw02788"", ""KYOw16711""]",0,63296,0,0,0,2983,0,4
5,1,8,B0,B1,5,4,0,True,796370,0.5477152579830983,"[""KYOw02709"", ""KYOw02719"", ""KYOw02759"", ""KYOw02767"", ""KYOw02773"", ""KYOw02777"", ""KYOw02783"", ""KYOw02788"", ""KYOw16711""]",4,6847,0,0,0,18430,0,0
5,1,8,B0,B1,3,5,23541,False,796370,0.5477152579830983,"[""KYOw02709"", ""KYOw02719"", ""KYOw02759"", ""KYOw02767"", ""KYOw02773"", ""KYOw02777"", ""KYOw02783"", ""KYOw02788"", ""KYOw16711""]",57075,0,1033,4532,23541,68464,0,0
5,1,8,B0,B1,4,6,102814,False,796370,0.5477152579830983,"[""KYOw02709"", ""KYOw02719"", ""KYOw02759"", ""KYOw02767"", ""KYOw02773"", ""KYOw02777"", ""KYOw02783"", ""KYOw02788"", ""KYOw16711""]",210,1533,0,0,2,102814,0,0
5,1,8,B0,B1,6,7,4,False,796370,0.5477152579830983,"[""KYOw02709"", ""KYOw02719"", ""KYOw02759"", ""KYOw02767"", ""KYOw02773"", ""KYOw02777"", ""KYOw02783"", ""KYOw02788"", ""KYOw16711""]",0,15816,0,0,0,2142,4,9318
5,1,8,B0,B1,8,8,114374,False,796370,0.5477152579830983,"[""KYOw02709"", ""KYOw02719"", ""KYOw02759"", ""KYOw02767"", ""KYOw02773"", ""KYOw02777"", ""KYOw02783"", ""KYOw02788"", ""KYOw16711""]",0,36874,0,0,0,0,9369,114374
