mode,band_index,wavelength_nm,denominator_mean,denominator_std,denominator_min,denominator_q01,denominator_q05,denominator_nonpositive_fraction,denominator_below_floor_fraction,snr_proxy,low_snr,white_max,dark_max,white_at_dtype_max_fraction,dark_at_dtype_max_fraction,retained
200,35,1134.64,35474.6875,853.8238671375672,33234.0,33655.08,34128.3,0.0,0.0,41.54801577394218,False,46479.0,3910.0,0.0,0.0,True
200,36,1140.97,36497.778125,790.942529610391,34381.0,34749.97,35147.85,0.0,0.0,46.14466507823056,False,46908.0,3906.0,0.0,0.0,True
200,37,1147.29,37270.0875,804.7561889129838,35320.0,35502.66,35843.4,0.0,0.0,46.312271981831096,False,46993.0,4068.0,0.0,0.0,True
200,38,1153.61,38184.621875,690.1131955313449,35643.0,36253.11,36895.6,0.0,0.0,55.33095457709676,False,46412.0,4073.0,0.0,0.0,True
200,39,1159.94,38977.26875,667.7231670186662,36729.0,37021.06,37588.25,0.0,0.0,58.373395855097435,False,45268.0,6930.0,0.0,0.0,True
200,40,1166.26,39878.3625,700.5713426152614,37862.0,37972.66,38353.35,0.0,0.0,56.922628823400615,False,44890.0,3882.0,0.0,0.0,True
200,41,1172.58,40536.8,700.3597807555772,38298.0,38658.08,39089.8,0.0,0.0,57.87996557464674,False,45514.0,3880.0,0.0,0.0,True
200,42,1178.9,41214.540625,738.3025875950925,38937.0,39131.13,39635.2,0.0,0.0,55.82337285211202,False,46235.0,3799.0,0.0,0.0,True
200,43,1185.23,41678.634375,706.872270600113,39381.0,39806.17,40143.2,0.0,0.0,58.962044641553206,False,46805.0,3799.0,0.0,0.0,True
200,44,1191.55,42504.903125,700.5712222823846,40264.0,40610.4,40997.25,0.0,0.0,60.671780074727586,False,47404.0,4174.0,0.0,0.0,True
200,45,1197.87,43298.85625,749.9971862186801,40676.0,41269.06,41684.4,0.0,0.0,57.73202492705765,False,48498.0,4132.0,0.0,0.0,True
200,46,1204.19,44252.84375,734.8617050751369,41788.0,42000.9,42700.6,0.0,0.0,60.21928132106877,False,49063.0,3786.0,0.0,0.0,True
200,47,1210.51,44979.003125,701.3809080059382,42722.0,42924.47,43553.4,0.0,0.0,64.12920940901792,False,50255.0,4069.0,0.0,0.0,True
200,48,1216.83,45864.2625,971.8260485260466,43709.0,43739.76,44130.3,0.0,0.0,47.19390118176145,False,57837.0,3847.0,0.0,0.0,True
200,49,1223.15,46544.290625,784.5726543234281,44006.0,44243.57,45046.6,0.0,0.0,59.32438553461585,False,56165.0,4036.0,0.0,0.0,True
200,50,1229.47,47304.05,716.0356729940206,44841.0,45263.41,45721.45,0.0,0.0,66.06381746624928,False,52362.0,4094.0,0.0,0.0,True
200,51,1235.79,47960.21875,728.8492743005494,45072.0,45847.25,46541.05,0.0,0.0,65.80265692934337,False,53496.0,4644.0,0.0,0.0,True
200,52,1242.11,48770.05625,729.2246031477116,46214.0,46569.94,47257.7,0.0,0.0,66.87933462404186,False,53901.0,4417.0,0.0,0.0,True
200,53,1248.43,49428.628125,714.9227990377592,46662.0,47540.19,47959.45,0.0,0.0,69.13841353433928,False,55023.0,3767.0,0.0,0.0,True
200,54,1254.75,50273.940625,757.4303595708383,47700.0,48267.22,48724.05,0.0,0.0,66.3743405446347,False,55955.0,3990.0,0.0,0.0,True
200,55,1261.07,50995.984375,922.3460964469136,48535.0,48950.55,49551.65,0.0,0.0,55.28942397159596,False,65521.0,4416.0,0.0,0.0,True
