condition,reference_cluster,original_target_cluster,display_target_cluster,snv_cosine_similarity,iou,pixel_count,assigned
B0,1,1,7,0.9975928826280862,0.16414063567630785,309888,False
B0,2,1,7,0.9847081529796369,0.014320678896949551,13674,False
B0,3,1,7,0.8773707352644908,0.0,0,False
B0,4,1,7,0.8424530846641182,0.0,0,False
B0,5,1,7,0.9801882479841163,8.533685300442613e-06,12,False
B0,6,1,7,0.9950416139773638,0.05332852636322668,88752,False
B0,7,1,7,0.999933904712726,0.4690451374969935,468032,True
B0,8,1,7,0.9690195355945618,0.0,0,False
B0,1,2,4,0.8819345866343494,0.0,0,False
B0,2,2,4,0.7730991656411901,0.0,0,False
B0,3,2,4,0.9961107208149511,0.07119741100323625,15092,False
B0,4,2,4,0.9936496189169324,0.7757929414168242,121514,True
B0,5,2,4,0.9334703772099162,0.0,0,False
B0,6,2,4,0.8983326851237996,9.893183299910862e-07,1,False
B0,7,2,4,0.8496204162422811,1.3818510447484823e-06,1,False
B0,8,2,4,0.9541372261828147,0.0036781587318203556,1546,False
B0,1,3,5,0.9840554123781164,0.00014549144398392878,234,False
B0,2,3,5,0.9249128974592424,3.1641314063773066e-05,12,False
B0,3,3,5,0.9647074368448227,0.00048705871821941863,185,False
B0,4,3,5,0.9385172595472979,0.007523190075652582,3219,False
B0,5,3,5,0.997871412210213,0.11457798976217243,83982,True
B0,6,3,5,0.9901839122014213,0.008695380838958634,10032,False
B0,7,3,5,0.9705036297972113,0.00131472688290935,1151,False
B0,8,3,5,0.9996278805244454,0.5026821706236961,192289,False
B0,1,4,8,0.9467496929635814,6.869047112046522e-07,1,False
B0,2,4,8,0.8603814922125173,4.415147488001837e-06,1,False
B0,3,4,8,0.9936843211671534,0.30754270787182747,53450,False
B0,4,4,8,0.972380511108786,0.036113406743948834,9701,False
B0,5,4,8,0.980379341246476,0.027785987852528143,17956,False
B0,6,4,8,0.9576306256104963,3.956576572120972e-06,4,False
B0,7,4,8,0.9224860139390965,0.0,0,False
B0,8,4,8,0.9889005797851442,0.15684823366883757,57222,True
B0,1,5,1,0.9998022923147016,0.4913126754122966,928324,True
B0,2,5,1,0.9736076803370743,0.00047552075821312526,755,False
B0,3,5,1,0.907379421741784,0.0,0,False
B0,4,5,1,0.8728013653431315,1.2192750312591636e-06,2,False
B0,5,5,1,0.9913140552242987,0.03537286555827634,69223,False
B0,6,5,1,0.9993892575189672,0.2344003674632706,450604,False
B0,7,5,1,0.9971342179996754,0.025050261220746887,50974,False
B0,8,5,1,0.9826765514065837,0.00025061771379457083,447,False
B0,1,6,2,0.9855445246576957,4.884639940118442e-05,71,False
B0,2,6,2,0.9944532509016393,0.48872310204298364,73632,True
B0,3,6,2,0.8231373685305101,0.0,0,False
B0,4,6,2,0.7866181252002253,0.0,0,False
B0,5,6,2,0.9545896168850425,0.0,0,False
B0,6,6,2,0.9793180204385964,9.912983827958184e-07,1,False
B0,7,6,2,0.9950630662973421,0.09470463488557655,62431,False
B0,8,6,2,0.9383696010702915,0.0,0,False
B0,1,7,3,0.7745392914117106,7.444813459031564e-07,1,False
B0,2,7,3,0.638528442274263,1.755880003160584e-05,2,False
B0,3,7,3,0.9682443940569894,0.2136589290061711,20185,True
B0,4,7,3,0.9650776708525035,0.034679085795621255,5555,False
B0,5,7,3,0.8491527841123796,3.6258815424500083e-06,2,False
B0,6,7,3,0.7949214191365532,0.0,0,False
B0,7,7,3,0.7284592584692713,1.6359677321724505e-06,1,False
B0,8,7,3,0.872749913057441,0.0,0,False
B0,1,8,6,0.9971966574598259,0.03888145816425425,78953,False
B0,2,8,6,0.9575289905755079,9.430050047434288e-05,83,False
B0,3,8,6,0.9331070404732207,0.0,0,False
B0,4,8,6,0.9000491324233416,1.072869281606729e-06,1,False
B0,5,8,6,0.9976779261960691,0.36819708823333996,354671,False
B0,6,8,6,0.9993380773616565,0.2409646637340913,323250,True
B0,7,8,6,0.9900029918835053,0.0021270420221739038,2924,False
B0,8,8,6,0.9924643721206471,0.030861648171269834,32207,False
