condition,k,fold,repeat,scope,cluster_id,pooled_pixels,pooled_fraction,sample_macro_fraction
B0,8,5,1,clean_test,7,9410,0.011816115624646835,0.01564374593197205
B0,8,5,1,clean_test,8,146790,0.18432386955811997,0.21780811038106046
B0,8,5,2,clean_test,1,17803,0.022355186659467334,0.029080374590421218
B0,8,5,2,clean_test,2,177780,0.22323794216256262,0.2599998929312385
B0,8,5,2,clean_test,3,236678,0.29719602697238723,0.3218683915245777
B0,8,5,2,clean_test,4,212513,0.2668520913645667,0.2270804418943212
B0,8,5,2,clean_test,5,20496,0.02573678064216382,0.023223152879194235
B0,8,5,2,clean_test,6,5612,0.007046975652021045,0.005608830203290281
B0,8,5,2,clean_test,7,4224,0.005304067204942426,0.005087717318703033
B0,8,5,2,clean_test,8,121264,0.15227092934188882,0.12805119865825382
B0,8,5,3,clean_test,1,201102,0.25252332458530585,0.2477694967210184
B0,8,5,3,clean_test,2,174820,0.2195210768863719,0.17896856663509833
B0,8,5,3,clean_test,3,4667,0.0058603412986425905,0.007292396973519196
B0,8,5,3,clean_test,4,109903,0.13800494744905006,0.16511771620075363
B0,8,5,3,clean_test,5,4799,0.006026093398797042,0.00572362767534074
B0,8,5,3,clean_test,6,9216,0.01157251026532893,0.00994298256278079
B0,8,5,3,clean_test,7,67295,0.08450217863555885,0.07167679228287416
B0,8,5,3,clean_test,8,224568,0.2819895274809448,0.31350842094861475
B0,10,1,1,clean_test,1,266971,0.29453083973575395,0.3171347317571397
B0,10,1,1,clean_test,2,6709,0.007401580710216365,0.009041380967566348
B0,10,1,1,clean_test,3,106225,0.11719077521877082,0.134336047023292
B0,10,1,1,clean_test,4,3338,0.0036825870339398164,0.008495517405771723
B0,10,1,1,clean_test,5,38311,0.04226590528977481,0.052852886625771055
B0,10,1,1,clean_test,6,97688,0.10777248716941666,0.10813349023900878
B0,10,1,1,clean_test,7,358106,0.39507385032236425,0.32465672360281
B0,10,1,1,clean_test,8,2471,0.0027260852489111105,0.004522010266222486
B0,10,1,1,clean_test,9,1055,0.0011639093231894865,0.0014062906798050939
B0,10,1,1,clean_test,10,25554,0.028191979947662694,0.039420921432612895
