condition,fold,repeat,sample_id,k,scope,valid_pixels,used_clusters,max_occupancy,single_cluster,cluster_counts,cluster_fractions
B0,1,1,KYOw02766,2,clean_test,46176,2,0.7061027373527373,False,"[13571, 32605]","[0.2938972626472626, 0.7061027373527373]"
B0,1,1,KYOw02766,4,clean_test,46176,4,0.41850744975744975,False,"[19325, 13807, 9744, 3300]","[0.41850744975744975, 0.29900814275814275, 0.21101871101871103, 0.07146569646569646]"
B0,1,1,KYOw02766,6,clean_test,46176,6,0.32371794871794873,False,"[4512, 10174, 14948, 339, 11673, 4530]","[0.09771309771309772, 0.22033090783090784, 0.32371794871794873, 0.007341476091476092, 0.252793659043659, 0.0981029106029106]"
B0,1,1,KYOw02766,8,clean_test,46176,8,0.23828395703395702,False,"[11003, 1391, 8863, 5618, 9570, 9351, 48, 332]","[0.23828395703395702, 0.030123873873873875, 0.1919395356895357, 0.12166493416493417, 0.20725051975051975, 0.20250779625779625, 0.0010395010395010396, 0.00718988218988219]"
B0,1,1,KYOw02766,10,clean_test,46176,9,0.3015202702702703,False,"[13923, 1014, 3425, 0, 6233, 7396, 5101, 1556, 89, 7439]","[0.3015202702702703, 0.02195945945945946, 0.07417273042273043, 0.0, 0.13498354123354123, 0.16016978516978517, 0.11046864171864172, 0.0336971586971587, 0.0019274081774081774, 0.16110100485100484]"
B0,1,1,KYOw02766,12,clean_test,46176,11,0.2895226957726958,False,"[4777, 485, 3698, 16, 326, 2163, 4979, 13369, 0, 7065, 5041, 4257]","[0.1034520097020097, 0.010503291753291753, 0.08008489258489258, 0.0003465003465003465, 0.00705994455994456, 0.04684251559251559, 0.10782657657657657, 0.2895226957726958, 0.0, 0.15300155925155925, 0.10916926541926542, 0.09219074844074844]"
B0,1,1,KYOw02766,14,clean_test,46176,13,0.21589137214137213,False,"[3208, 485, 1706, 0, 4726, 2189, 19, 9969, 3927, 5171, 337, 5149, 4553, 4737]","[0.06947331947331947, 0.010503291753291753, 0.03694559944559945, 0.0, 0.10234753984753985, 0.04740557865557866, 0.0004114691614691615, 0.21589137214137213, 0.08504417879417879, 0.11198458073458073, 0.007298163548163548, 0.11150814275814276, 0.09860100485100486, 0.10258575883575884]"
B0,1,1,KYOw02769,2,clean_test,161734,2,0.9762511283960082,False,"[3841, 157893]","[0.02374887160399174, 0.9762511283960082]"
B0,1,1,KYOw02769,4,clean_test,161734,4,0.548555034810244,False,"[88720, 4850, 67035, 1129]","[0.548555034810244, 0.02998751035651131, 0.414476857061595, 0.006980597771649746]"
B0,1,1,KYOw02769,6,clean_test,161734,6,0.6228622305761312,False,"[1131, 100738, 27908, 285, 3947, 27725]","[0.006992963755301915, 0.6228622305761312, 0.17255493588237478, 0.0017621526704341697, 0.024404268737556727, 0.17142344837820125]"
B0,1,1,KYOw02769,8,clean_test,161734,8,0.5826975156738843,False,"[94242, 135, 49039, 1897, 11717, 2998, 1418, 288]","[0.5826975156738843, 0.0008347038965214488, 0.3032077361593728, 0.011729135494082877, 0.07244611522623567, 0.018536609494602247, 0.008767482409388254, 0.001780701645912424]"
B0,1,1,KYOw02769,10,clean_test,161734,10,0.4747424783904436,False,"[37786, 507, 4614, 27, 2311, 38011, 76782, 122, 100, 1474]","[0.23363052914044047, 0.0031347768558249965, 0.028528324285555295, 0.00016694077930428977, 0.014288894110081987, 0.23502170230130956, 0.4747424783904436, 0.0007543250027823463, 0.0006182991826084806, 0.009113729951649004]"
B0,1,1,KYOw02769,12,clean_test,161734,12,0.4325868401201974,False,"[69964, 19, 4560, 28, 259, 1108, 1787, 45086, 22, 36347, 2222, 332]","[0.4325868401201974, 0.00011747684469561131, 0.028194442726946715, 0.00017312377113037458, 0.0016013948829559648, 0.006850754943301965, 0.011049006393213549, 0.27876636947085953, 0.00013602582017386574, 0.22473320390270443, 0.01373860783756044, 0.0020527532862601554]"
B0,1,1,KYOw02769,14,clean_test,161734,14,0.460997687561057,False,"[4235, 21, 2242, 14, 74559, 1097, 30, 12653, 268, 35284, 257, 1952, 27252, 1870]","[0.026184970383469154, 0.00012984282834778093, 0.013862267674082135, 8.656188556518729e-05, 0.460997687561057, 0.006782742033215032, 0.0001854897547825442, 0.07823339557545105, 0.001657041809390728, 0.21816068359157628, 0.0015890288993037952, 0.012069200044517541, 0.16849889324446313, 0.011562194714778587]"
B0,1,1,KYOw02774,2,clean_test,38927,2,0.9581010609602589,False,"[1631, 37296]","[0.041898939039741054, 0.9581010609602589]"
B0,1,1,KYOw02774,4,clean_test,38927,4,0.47738073830503247,False,"[17721, 2046, 18583, 577]","[0.455236725152208, 0.05255991984997559, 0.47738073830503247, 0.01482261669278393]"
B0,1,1,KYOw02774,6,clean_test,38927,6,0.378400595987361,False,"[360, 14730, 9906, 278, 1665, 11988]","[0.009248079738998638, 0.378400595987361, 0.2544763274847792, 0.007141572687337837, 0.042772368792868706, 0.30796105530865464]"
B0,1,1,KYOw02774,8,clean_test,38927,8,0.37308295013743675,False,"[14523, 5, 11715, 794, 5624, 1128, 4858, 280]","[0.37308295013743675, 0.00012844555193053666, 0.30094792817324734, 0.02039715364656922, 0.14447555681146762, 0.028977316515529067, 0.12479769825570941, 0.0071929509081100525]"
B0,1,1,KYOw02774,10,clean_test,38927,10,0.2800113032085699,False,"[10494, 291, 2681, 3295, 974, 10900, 9921, 6, 140, 225]","[0.2695815243918103, 0.0074755311223572325, 0.06887250494515375, 0.08464561872222365, 0.02502119351606854, 0.2800113032085699, 0.2548616641405708, 0.00015413466231664396, 0.0035964754540550262, 0.005780049836874149]"
B0,1,1,KYOw02774,12,clean_test,38927,11,0.28550877283119686,False,"[9112, 0, 2891, 77, 197, 502, 235, 11114, 3147, 10647, 993, 12]","[0.23407917383820998, 0.0, 0.0742672181262363, 0.0019780614997302643, 0.005060754746063144, 0.01289593341382588, 0.0060369409407352225, 0.28550877283119686, 0.08084363038507976, 0.27351195828088476, 0.025509286613404576, 0.00030826932463328793]"
