priority,metric,window,source_metric,label,expression,kind,k,sample_id,fold,included,mean,repeat_1,repeat_2,repeat_3,undefined_reason
1,LLA,3.0,adjusted_lla_3,LLA (3 x 3),(M11 - M10) - (M01 - M00),interaction,2,KYOw02773,5,True,0.015367984771728516,0.01727217435836792,-0.0011165142059326172,0.029948294162750244,
1,LLA,3.0,adjusted_lla_3,LLA (3 x 3),(M11 - M10) - (M01 - M00),interaction,2,KYOw02774,1,True,-0.0002822279930114746,-0.001954197883605957,-0.0015525221824645996,0.002660036087036133,
1,LLA,3.0,adjusted_lla_3,LLA (3 x 3),(M11 - M10) - (M01 - M00),interaction,2,KYOw02775,1,True,0.010092079639434814,0.007129073143005371,0.01163572072982788,0.011511445045471191,
1,LLA,3.0,adjusted_lla_3,LLA (3 x 3),(M11 - M10) - (M01 - M00),interaction,2,KYOw02776,1,True,0.014133970253169537,0.01850348711013794,0.011637270450592041,0.012261152267456055,
1,LLA,3.0,adjusted_lla_3,LLA (3 x 3),(M11 - M10) - (M01 - M00),interaction,2,KYOw02777,5,True,-0.0067658028565347195,-0.008581936359405518,-0.00818026065826416,-0.0035352110862731934,
1,LLA,3.0,adjusted_lla_3,LLA (3 x 3),(M11 - M10) - (M01 - M00),interaction,2,KYOw02780,3,True,0.004729807376861572,-0.00030666589736938477,0.01200103759765625,0.0024950504302978516,
1,LLA,3.0,adjusted_lla_3,LLA (3 x 3),(M11 - M10) - (M01 - M00),interaction,2,KYOw02783,5,True,0.008532047271728516,0.01116180419921875,0.0005001425743103027,0.013934195041656494,
1,LLA,3.0,adjusted_lla_3,LLA (3 x 3),(M11 - M10) - (M01 - M00),interaction,2,KYOw02784,3,True,0.018219253048300743,0.020256876945495605,0.01654571294784546,0.017855167388916016,
1,LLA,3.0,adjusted_lla_3,LLA (3 x 3),(M11 - M10) - (M01 - M00),interaction,2,KYOw02787,4,True,0.007620970252901316,0.021496117115020752,0.000825345516204834,0.0005414485931396484,
1,LLA,3.0,adjusted_lla_3,LLA (3 x 3),(M11 - M10) - (M01 - M00),interaction,2,KYOw02788,5,True,-0.013098001480102539,0.01540336012840271,-0.01644071936607361,-0.03825664520263672,
1,LLA,3.0,adjusted_lla_3,LLA (3 x 3),(M11 - M10) - (M01 - M00),interaction,2,KYOw02789,2,False,,,,,
1,LLA,3.0,adjusted_lla_3,LLA (3 x 3),(M11 - M10) - (M01 - M00),interaction,2,KYOw02790,3,True,0.016439637169241905,-0.003419637680053711,0.006693899631500244,0.04604464769363403,
1,LLA,3.0,adjusted_lla_3,LLA (3 x 3),(M11 - M10) - (M01 - M00),interaction,2,KYOw16662,4,True,0.0013075867900624871,-0.006937146186828613,0.007225990295410156,0.0036339163780212402,
1,LLA,3.0,adjusted_lla_3,LLA (3 x 3),(M11 - M10) - (M01 - M00),interaction,2,KYOw16666,4,True,0.0037802259903401136,0.011979520320892334,0.001059889793395996,-0.0016987323760986328,
1,LLA,3.0,adjusted_lla_3,LLA (3 x 3),(M11 - M10) - (M01 - M00),interaction,2,KYOw16700,4,True,0.00046306848526000977,0.0035686492919921875,0.0024300813674926758,-0.004609525203704834,
1,LLA,3.0,adjusted_lla_3,LLA (3 x 3),(M11 - M10) - (M01 - M00),interaction,2,KYOw16702,3,True,-0.003740290878340602,-0.0011303424835205078,-0.006192982196807861,-0.003897547721862793,
1,LLA,3.0,adjusted_lla_3,LLA (3 x 3),(M11 - M10) - (M01 - M00),interaction,2,KYOw16711,5,True,0.00247269868850708,-0.0036126375198364258,-0.003965437412261963,0.014996170997619629,
1,LLA,3.0,adjusted_lla_3,LLA (3 x 3),(M11 - M10) - (M01 - M00),interaction,2,KYOw16714,2,True,0.0013570388546213508,0.006972789764404297,-0.0005443096160888672,-0.0023573637008666992,
1,LLA,3.0,adjusted_lla_3,LLA (3 x 3),(M11 - M10) - (M01 - M00),interaction,2,KYOw16716,2,True,-0.001649876474402845,-0.004781961441040039,0.0019572973251342773,-0.002124965190887451,
1,LLA,3.0,adjusted_lla_3,LLA (3 x 3),(M11 - M10) - (M01 - M00),interaction,2,KYOw16719,1,True,0.0020832617301493883,0.00011074542999267578,0.0008058547973632812,0.0053331851959228516,
1,LLA,3.0,adjusted_lla_3,LLA (3 x 3),(M11 - M10) - (M01 - M00),interaction,2,KYOw16737,4,True,-0.010247807018458843,-0.022726237773895264,0.0034590959548950195,-0.011476278305053711,
1,LLA,3.0,adjusted_lla_3,LLA (3 x 3),(M11 - M10) - (M01 - M00),interaction,2,KYOw16744,4,True,0.002456704853102565,0.007250726222991943,-0.0010805130004882812,0.0011999011039733887,
1,LLA,3.0,adjusted_lla_3,LLA (3 x 3),(M11 - M10) - (M01 - M00),interaction,2,KYOw16750,2,True,0.002040008781477809,0.0023642778396606445,0.0020124316215515137,0.001743316650390625,
1,LLA,3.0,adjusted_lla_3,LLA (3 x 3),(M11 - M10) - (M01 - M00),interaction,4,KYOw02702,4,True,0.01592530868947506,0.023823052644729614,-0.010887384414672852,0.03484025597572327,
1,LLA,3.0,adjusted_lla_3,LLA (3 x 3),(M11 - M10) - (M01 - M00),interaction,4,KYOw02707,1,True,0.003044088603928685,0.04809269309043884,-0.0225488543510437,-0.016411572694778442,
1,LLA,3.0,adjusted_lla_3,LLA (3 x 3),(M11 - M10) - (M01 - M00),interaction,4,KYOw02708,4,True,0.018373331055045128,-0.009645044803619385,0.01468890905380249,0.05007612705230713,
1,LLA,3.0,adjusted_lla_3,LLA (3 x 3),(M11 - M10) - (M01 - M00),interaction,4,KYOw02709,5,True,0.00936125684529543,0.01238444447517395,0.04773294925689697,-0.03203362226486206,
1,LLA,3.0,adjusted_lla_3,LLA (3 x 3),(M11 - M10) - (M01 - M00),interaction,4,KYOw02715,3,True,0.013343076221644878,-0.058180928230285645,-0.03554278612136841,0.1337529420852661,
1,LLA,3.0,adjusted_lla_3,LLA (3 x 3),(M11 - M10) - (M01 - M00),interaction,4,KYOw02716,3,True,0.014797438867390156,0.030634522438049316,0.05034938454627991,-0.03659158945083618,
1,LLA,3.0,adjusted_lla_3,LLA (3 x 3),(M11 - M10) - (M01 - M00),interaction,4,KYOw02717,3,True,-0.016393005847930908,-0.05431440472602844,-0.05586424469947815,0.06099963188171387,
1,LLA,3.0,adjusted_lla_3,LLA (3 x 3),(M11 - M10) - (M01 - M00),interaction,4,KYOw02719,5,True,0.02608092688024044,-0.016837894916534424,0.0761488676071167,0.018931806087493896,
1,LLA,3.0,adjusted_lla_3,LLA (3 x 3),(M11 - M10) - (M01 - M00),interaction,4,KYOw02720,1,True,-0.0071762800216674805,0.020044267177581787,-0.010001420974731445,-0.03157168626785278,
1,LLA,3.0,adjusted_lla_3,LLA (3 x 3),(M11 - M10) - (M01 - M00),interaction,4,KYOw02751,1,True,0.007687389850616455,-4.363059997558594e-05,-0.0052092671394348145,0.028315067291259766,
1,LLA,3.0,adjusted_lla_3,LLA (3 x 3),(M11 - M10) - (M01 - M00),interaction,4,KYOw02752,1,True,0.012059112079441547,-0.003086268901824951,0.009314656257629395,0.029948949813842773,
1,LLA,3.0,adjusted_lla_3,LLA (3 x 3),(M11 - M10) - (M01 - M00),interaction,4,KYOw02754,2,True,-0.02169240452349186,0.013768106698989868,-0.06444454193115234,-0.014400780200958252,
1,LLA,3.0,adjusted_lla_3,LLA (3 x 3),(M11 - M10) - (M01 - M00),interaction,4,KYOw02756,3,True,0.026450753211975098,0.01782768964767456,0.057308733463287354,0.004215836524963379,
1,LLA,3.0,adjusted_lla_3,LLA (3 x 3),(M11 - M10) - (M01 - M00),interaction,4,KYOw02758,3,True,0.024624386802315712,-0.008107125759124756,0.01770418882369995,0.06427609920501709,
1,LLA,3.0,adjusted_lla_3,LLA (3 x 3),(M11 - M10) - (M01 - M00),interaction,4,KYOw02759,5,True,0.0013833841076120734,0.0026412606239318848,-0.0016630887985229492,0.003171980381011963,
1,LLA,3.0,adjusted_lla_3,LLA (3 x 3),(M11 - M10) - (M01 - M00),interaction,4,KYOw02760,3,True,-0.0019243359565734863,-0.006780803203582764,-0.015895187854766846,0.01690298318862915,
1,LLA,3.0,adjusted_lla_3,LLA (3 x 3),(M11 - M10) - (M01 - M00),interaction,4,KYOw02762,2,True,-0.0011233091354370117,0.0066947340965271,-0.011581718921661377,0.0015170574188232422,
1,LLA,3.0,adjusted_lla_3,LLA (3 x 3),(M11 - M10) - (M01 - M00),interaction,4,KYOw02763,2,True,-0.00911529827862978,-0.005906820297241211,-0.0308530330657959,0.009413957595825195,
1,LLA,3.0,adjusted_lla_3,LLA (3 x 3),(M11 - M10) - (M01 - M00),interaction,4,KYOw02764,2,True,0.00413823127746582,0.009590387344360352,0.002221047878265381,0.0006032586097717285,
1,LLA,3.0,adjusted_lla_3,LLA (3 x 3),(M11 - M10) - (M01 - M00),interaction,4,KYOw02766,1,True,-0.0029448072891682386,-0.0035786032676696777,0.0057173967361450195,-0.010973215103149414,
