priority,metric,window,source_metric,label,expression,kind,k,sample_id,fold,repeat_a,repeat_b,value,undefined_reason,used_clusters,degeneracy_flags
3,ARI,,ari,ARI,A0,condition,2,KYOw02762,2,1,2,0.016521798446774483,,"[2, 2]",[]
3,ARI,,ari,ARI,A0,condition,2,KYOw02762,2,1,3,0.12438218295574188,,"[2, 2]",[]
3,ARI,,ari,ARI,A0,condition,2,KYOw02762,2,2,3,0.014355963096022606,,"[2, 2]",[]
3,ARI,,ari,ARI,A0,condition,2,KYOw02763,2,1,2,0.1754964292049408,,"[2, 2]",[]
3,ARI,,ari,ARI,A0,condition,2,KYOw02763,2,1,3,0.029269378632307053,,"[2, 2]",[]
3,ARI,,ari,ARI,A0,condition,2,KYOw02763,2,2,3,0.011379470117390156,,"[2, 2]",[]
3,ARI,,ari,ARI,A0,condition,2,KYOw02764,2,1,2,0.0025717467069625854,,"[2, 2]",[]
3,ARI,,ari,ARI,A0,condition,2,KYOw02764,2,1,3,-0.001959040528163314,,"[2, 2]",[]
3,ARI,,ari,ARI,A0,condition,2,KYOw02764,2,2,3,3.0334264010889456e-05,,"[2, 2]",[]
3,ARI,,ari,ARI,A0,condition,2,KYOw02766,1,1,2,0.005360872019082308,,"[2, 2]",[]
3,ARI,,ari,ARI,A0,condition,2,KYOw02766,1,1,3,0.9748479723930359,,"[2, 2]",[]
3,ARI,,ari,ARI,A0,condition,2,KYOw02766,1,2,3,0.00561707466840744,,"[2, 2]",[]
3,ARI,,ari,ARI,A0,condition,2,KYOw02767,5,1,2,0.18346987664699554,,"[2, 2]",[]
3,ARI,,ari,ARI,A0,condition,2,KYOw02767,5,1,3,0.7938688397407532,,"[2, 2]",[]
3,ARI,,ari,ARI,A0,condition,2,KYOw02767,5,2,3,0.23559872806072235,,"[2, 2]",[]
3,ARI,,ari,ARI,A0,condition,2,KYOw02768,4,1,2,0.1006178930401802,,"[2, 2]",[]
3,ARI,,ari,ARI,A0,condition,2,KYOw02768,4,1,3,0.14254741370677948,,"[2, 2]",[]
3,ARI,,ari,ARI,A0,condition,2,KYOw02768,4,2,3,0.2641269564628601,,"[2, 2]",[]
3,ARI,,ari,ARI,A0,condition,2,KYOw02769,1,1,2,-0.006665136199444532,,"[2, 2]",[]
3,ARI,,ari,ARI,A0,condition,2,KYOw02769,1,1,3,0.9746407866477966,,"[2, 2]",[]
3,ARI,,ari,ARI,A0,condition,2,KYOw02769,1,2,3,-0.006338716950267553,,"[2, 2]",[]
3,ARI,,ari,ARI,A0,condition,2,KYOw02770,2,1,2,0.004418289288878441,,"[2, 2]",[]
3,ARI,,ari,ARI,A0,condition,2,KYOw02770,2,1,3,-0.006961588282138109,,"[2, 2]",[]
3,ARI,,ari,ARI,A0,condition,2,KYOw02770,2,2,3,0.00011872468894580379,,"[2, 2]",[]
3,ARI,,ari,ARI,A0,condition,2,KYOw02771,2,1,2,0.5691210031509399,,"[2, 2]",[]
3,ARI,,ari,ARI,A0,condition,2,KYOw02771,2,1,3,0.006515654269605875,,"[2, 2]",[]
3,ARI,,ari,ARI,A0,condition,2,KYOw02771,2,2,3,0.005154134705662727,,"[2, 2]",[]
3,ARI,,ari,ARI,A0,condition,2,KYOw02772,4,1,2,0.2970210611820221,,"[2, 2]",[]
3,ARI,,ari,ARI,A0,condition,2,KYOw02772,4,1,3,0.25323018431663513,,"[2, 2]",[]
3,ARI,,ari,ARI,A0,condition,2,KYOw02772,4,2,3,0.4219290614128113,,"[2, 2]",[]
3,ARI,,ari,ARI,A0,condition,2,KYOw02773,5,1,2,-0.031105419620871544,,"[2, 2]",[]
3,ARI,,ari,ARI,A0,condition,2,KYOw02773,5,1,3,0.6573024988174438,,"[2, 2]",[]
3,ARI,,ari,ARI,A0,condition,2,KYOw02773,5,2,3,-0.04271093010902405,,"[2, 2]",[]
3,ARI,,ari,ARI,A0,condition,2,KYOw02774,1,1,2,0.005441759247332811,,"[2, 2]",[]
3,ARI,,ari,ARI,A0,condition,2,KYOw02774,1,1,3,0.9588965773582458,,"[2, 2]",[]
