feature_index,mean,pc1,pc2
129,-0.29663143,-0.05873763,-0.06983704
130,-0.27134493,-0.05986314,-0.06784535
131,-0.24889302,-0.06077572,-0.0655469
132,-0.23076342,-0.061370313,-0.063070305
133,-0.21515311,-0.061606158,-0.0600224
134,-0.20543475,-0.06148151,-0.05740546
135,-0.20700118,-0.060253456,-0.052744064
136,-0.21643409,-0.058899354,-0.047440484
137,-0.22982784,-0.05788495,-0.041825775
138,-0.24554645,-0.057208,-0.03614793
139,-0.26239258,-0.05665573,-0.030973291
140,-0.27460355,-0.056069702,-0.026695963
141,-0.2782655,-0.055701416,-0.02464035
142,-0.2814941,-0.055242356,-0.023750132
143,-0.2906248,-0.05465895,-0.023455177
144,-0.29908854,-0.05422736,-0.023689615
145,-0.30482623,-0.053937927,-0.024702314
146,-0.308913,-0.053615764,-0.026463985
147,-0.31159744,-0.053184174,-0.027934467
148,-0.31902793,-0.052255444,-0.029040843
149,-0.3270296,-0.05145782,-0.029431883
150,-0.33033273,-0.05095097,-0.029302884
151,-0.33135566,-0.050942536,-0.029474992
152,-0.33451486,-0.05098969,-0.029983403
153,-0.34037796,-0.05076538,-0.03054116
154,-0.34653163,-0.050358098,-0.031466234
155,-0.35330305,-0.05008378,-0.0337202
156,-0.36049005,-0.049411707,-0.03503183
157,-0.36935174,-0.04859674,-0.036159996
158,-0.3753652,-0.04783115,-0.03681205
159,-0.3802891,-0.047181435,-0.037748247
160,-0.38381603,-0.046639256,-0.03860171
161,-0.38479617,-0.046186507,-0.039065354
162,-0.38255504,-0.045985647,-0.0394697
163,-0.37354186,-0.046520334,-0.04045221
164,-0.36721355,-0.04702348,-0.04189324
165,-0.35901722,-0.04753938,-0.04275614
166,-0.3521572,-0.047832888,-0.043224744
167,-0.344595,-0.04817016,-0.043676928
168,-0.33568022,-0.04862442,-0.044134688
169,-0.3253771,-0.049146134,-0.044559833
170,-0.3105363,-0.049973026,-0.045198604
171,-0.29727143,-0.050453365,-0.04500048
172,-0.28896457,-0.05092373,-0.046146017
173,-0.28916383,-0.050640393,-0.046577618
174,-0.2966447,-0.049916588,-0.04722928
175,-0.31127858,-0.04856383,-0.047689375
176,-0.33626616,-0.046346787,-0.047631692
177,-0.38045302,-0.04294002,-0.047248144
178,-0.46083006,-0.036706634,-0.045049485
179,-0.56049263,-0.027633606,-0.037899192
180,-0.6788354,-0.015602581,-0.0255669
181,-0.80358446,-0.0014573456,-0.009712079
182,-0.9218166,0.01309955,0.007587715
183,-1.0234001,0.02620686,0.024225326
184,-1.1009645,0.036565017,0.03832188
185,-1.150592,0.043751396,0.049434807
186,-1.1817847,0.0478896,0.056218497
187,-1.194509,0.049410515,0.05924904
188,-1.1942153,0.04897325,0.05876333
189,-1.1842912,0.047485966,0.057191912
190,-1.1676202,0.045099046,0.053886697
191,-1.1454759,0.0420442,0.04950673
192,-1.1190464,0.038819533,0.04514108
