component,explained_variance,explained_variance_ratio,cumulative_ratio,singular_value
PC1,0.0640968112778358,0.42292898662769013,0.42292898662769013,160.4023339125782
PC2,0.03305386982319452,0.21809883190368992,0.64102781853138,115.18704234469709
