condition,pc1,pc2,pixels
B0,-0.6133341084163028,-0.14990199842340957,4
B0,-0.6133341084163028,-0.10821609775728558,26
B0,-0.6133341084163028,-0.06653019709116148,25
B0,-0.6133341084163028,-0.024844296425037493,37
B0,-0.6133341084163028,0.016841604241086494,10
B0,-0.6133341084163028,0.05852750490721048,13
B0,-0.6133341084163028,0.10021340557333447,17
B0,-0.6133341084163028,0.14189930623945846,11
B0,-0.6133341084163028,0.18358520690558255,3
B0,-0.589513593702305,-0.23327379975565754,1
B0,-0.589513593702305,-0.19158789908953355,2
B0,-0.589513593702305,-0.14990199842340957,9
B0,-0.589513593702305,-0.10821609775728558,26
B0,-0.589513593702305,-0.06653019709116148,26
B0,-0.589513593702305,-0.024844296425037493,36
B0,-0.589513593702305,0.016841604241086494,21
B0,-0.589513593702305,0.05852750490721048,14
B0,-0.589513593702305,0.10021340557333447,29
B0,-0.589513593702305,0.14189930623945846,8
B0,-0.589513593702305,0.18358520690558255,3
B0,-0.5656930789883075,-0.23327379975565754,1
B0,-0.5656930789883075,-0.19158789908953355,4
B0,-0.5656930789883075,-0.14990199842340957,10
B0,-0.5656930789883075,-0.10821609775728558,24
B0,-0.5656930789883075,-0.06653019709116148,30
B0,-0.5656930789883075,-0.024844296425037493,38
B0,-0.5656930789883075,0.016841604241086494,23
B0,-0.5656930789883075,0.05852750490721048,22
B0,-0.5656930789883075,0.10021340557333447,39
B0,-0.5656930789883075,0.14189930623945846,25
B0,-0.5656930789883075,0.18358520690558255,2
B0,-0.5418725642743099,-0.2749597004217815,1
B0,-0.5418725642743099,-0.23327379975565754,1
B0,-0.5418725642743099,-0.19158789908953355,4
B0,-0.5418725642743099,-0.14990199842340957,8
B0,-0.5418725642743099,-0.10821609775728558,21
B0,-0.5418725642743099,-0.06653019709116148,42
B0,-0.5418725642743099,-0.024844296425037493,35
B0,-0.5418725642743099,0.016841604241086494,31
B0,-0.5418725642743099,0.05852750490721048,44
B0,-0.5418725642743099,0.10021340557333447,48
B0,-0.5418725642743099,0.14189930623945846,63
B0,-0.5418725642743099,0.18358520690558255,11
B0,-0.5418725642743099,0.22527110757170643,1
