feature_index,mean,pc1,pc2
0,0.2622614786273904,0.07628690102198236,-0.18956205047430988
1,0.2958743123998672,-0.0901721181729272,0.044538256961993206
2,-0.3410902265537111,0.09990555077057774,0.1874863078232516
3,-0.20271119516136987,0.12136794821602725,-0.008286091059816245
4,-0.1136777312853339,-0.04200462116772015,0.1296698100983246
5,-0.15167693568602933,0.626987764890453,-0.41795834367536255
6,-0.2069983045542295,0.014130084601777684,0.21214853608288858
7,-0.20268943632462458,-0.06125245043784418,0.4023981764347444
8,0.2801872897667139,-0.32432847794454894,-0.23721243534836706
9,-0.33753409822911085,0.06923897654735338,0.17098274458831997
10,0.11633049803198041,0.5062200785550531,0.45174002104568056
11,0.09807450336754556,-0.4200785685526057,0.10689195346386783
12,0.12754974366474092,-0.004754078490067301,-0.3547046779218922
13,-0.18769229390496753,0.1253814665436298,0.046624174701563714
14,0.293159500115009,0.05312389985405108,0.28036961927985393
15,0.3366258705460895,-0.03514827294759679,0.14433276453969637
