point_id,pc1,pc2,cluster
0,0.37022134095442405,-0.19509768843696645,3
1,0.3831271545462749,-0.2979352133980921,3
2,0.33921656104908915,-0.2300861294688109,3
3,0.28380064218011486,-0.19231368494451095,5
4,0.31982345809925417,-0.21719416152394194,3
5,0.32759173615824067,-0.2352732442421287,5
6,0.3247558165369321,-0.2522988646052724,5
7,0.36469417586666386,-0.24541946491542788,3
8,0.20975287456395159,-0.18630679231928232,5
9,0.3487467170682019,-0.21562456548517067,3
10,0.29333500372991417,-0.18807870012004602,5
11,0.28338055205478796,-0.1899744362378823,5
12,0.45747242980157626,-0.23290347754926022,3
13,0.5166370761856767,-0.2481725822765259,3
14,0.4796020902398809,-0.194590356726227,3
15,0.638633699451404,-0.24815934501456416,3
16,0.3956389318016508,-0.1902159965857863,3
17,0.17150468581747694,-0.0843852777355234,8
18,0.2399052836358328,-0.1557437255488019,5
19,0.17086266134595057,-0.11477708612486082,5
20,0.22570495368315746,-0.19113776577570651,5
21,0.268832951861614,-0.24454714812903816,5
22,0.17398568768035377,-0.12453023166499089,5
23,0.2066516011567054,-0.17027964682101293,5
24,0.11926384607776844,-0.08533804486440266,5
25,0.17554164591211768,-0.1326153789478734,5
26,0.3476875005090916,-0.18613609314732532,3
27,0.4830550778717255,-0.1918278531936919,3
28,0.6835997691785981,-0.20296845441469313,3
29,0.29870512142706346,-0.13087914938907175,8
30,0.19252586761619458,-0.16907619491971027,5
31,0.17883000945702976,-0.1286963318986552,5
32,0.12911661059963128,-0.02243054995248364,6
33,0.11046233480570505,-0.07115240695117075,5
34,0.11829706594052547,-0.04014145649955367,6
35,0.106344505593329,-0.021721732725190984,6
36,0.1575251660268548,-0.06810182101500317,5
37,0.13500381962533578,-0.056814611369272267,6
38,0.15482227540654592,-0.03872461828426657,8
39,0.160118733399012,-0.07890754620421994,5
40,0.155515744314285,-0.04131481208992521,8
41,0.19214072362701667,-0.09295420258328002,8
42,0.17900981296371288,-0.15075097027367496,5
43,0.29477522931857564,-0.08316330386800122,8
44,0.31551922018472844,-0.117462599019661,8
45,0.46129930575657485,-0.05810947092901525,3
46,0.1836274068047647,0.03033142361838692,8
47,0.09772151052060918,0.08468427503446113,6
48,0.1566877635111208,-0.014623802213768883,8
49,0.1373697594755577,-0.060676089365960945,6
50,0.1475162467616995,-0.1009922340063718,5
51,0.18396078378982744,-0.10107765322227458,5
52,0.16526318753071345,-0.10094567671902355,5
53,0.1761755765175157,-0.11754483578038477,5
54,0.10300788766807245,-0.02421273758113701,6
55,0.20468706820423077,-0.09886337589108551,5
56,0.12073031392404579,0.020646247428738662,6
57,0.056492688515803774,0.057299308461983126,6
58,0.08390579443409035,-0.013928741720228816,6
59,0.08938329643418114,0.005134762282123784,6
60,0.10465571685606545,0.03769522481898453,6
61,0.057813313593199744,0.08187176228891223,6
62,0.11434306012815759,0.006963292973467122,6
63,0.2575256574473117,-0.07345324992801,8
64,0.20032757681002322,-0.041455535689498474,8
65,0.18084456648172129,-0.055400529747376664,8
66,0.15073334057468663,0.05592237626926119,8
67,0.25288205295452915,-0.018121918026218292,8
68,0.1405133121890395,0.011732206593134453,8
69,0.18034365053159057,-0.015046519661146535,8
70,0.07362805695574628,-0.011873638777755269,6
71,0.06683827368139647,0.012389606767749833,6
72,0.041223934257433675,0.045960057856014536,6
73,0.11019931152933488,-0.027787932783691627,6
74,0.10313564055297508,-0.009648040571353433,6
75,0.014319579840657903,0.11894246418487817,6
76,0.48294844638057816,-0.19395741899460217,3
77,0.1758613829297197,0.006077744877706237,8
78,0.1107592620166738,-0.0011483529633662393,6
79,0.0881072908132792,0.04748939847531855,6
80,0.16492542097777568,-0.035352270555865956,8
81,-0.0002505717815086128,0.10744606667662174,6
82,0.06852956541664015,-0.03805958084093691,6
83,0.10050933347030988,-0.03416813461879881,6
84,0.00851379177441064,0.07549241188916596,6
85,0.08497827659142063,-0.02922649686475609,6
86,0.05520164774868608,0.005666139758700034,6
87,0.03152950948662289,0.03556793810166928,6
88,0.030504429482578088,0.06805113477021847,6
89,-0.022579802389353698,0.10806878983744309,6
90,-0.0030407871715080192,0.11651361510534389,6
91,0.18469285698586096,-0.0612287088870391,8
92,0.2608338758479451,-0.15938561928386713,5
93,0.14560162589213332,4.720252372963918e-05,8
94,0.09450889286894548,0.060571259299600805,6
95,0.1401946732577511,-0.08926559877009663,5
96,0.16603128222828728,-0.06260001397054457,6
97,0.08187418305139077,0.024573200982621807,6
98,0.14252215435961146,-0.016163654469376704,6
99,0.1149592981668123,-0.004196326862001942,6
100,0.09605535603150941,-0.05948344807776951,6
101,0.047737360132137446,-0.046241377056406796,6
102,0.10982562508103907,-0.09573767076103762,5
103,0.06881958186171358,-0.026509969373503833,6
104,0.027705354448006952,-0.0005360020607442229,6
105,-0.012473960314017374,0.09564059325587021,6
106,0.05209834840164901,0.011016557142116051,6
107,0.06518313674924364,-0.03162823872792603,6
108,0.06488986777775926,-0.00669795516431998,6
109,0.11585040354212178,-0.017635747686984865,6
110,0.20751423834076374,-0.1433564281008396,5
111,0.2584840330561567,-0.14530692005951135,5
112,0.27292787550158565,-0.2218123720553556,5
113,0.037237686816777915,-0.04720117314110056,6
114,0.05946943252526188,-0.054786068387760095,6
115,0.16068134865832226,-0.14919484905040353,5
116,0.025594322381958468,-0.012840698708316056,6
117,-0.010344928917287444,0.07084670523897517,6
118,0.004362522968770599,0.045769538457030565,6
119,0.049268223601282884,-0.01135481078078715,6
120,-0.0077018860445725035,0.027135467846516825,6
121,-0.04924471963889915,0.1682159870865624,6
122,-0.009526972459423244,0.05130238557701759,6
123,0.030468576316570684,-0.03175790293400313,6
124,0.03952897935084945,-0.004437586935286897,6
125,0.036806875896879976,0.004296315642136561,6
126,0.08816304116274079,-0.049503013108470634,6
127,0.2567899584843522,-0.3396346167341982,5
128,0.28800869112213623,-0.3387641066378902,5
129,0.17347718519038963,-0.0032663613961100013,8
130,0.19381214774509475,-0.041031689948511446,8
131,0.11388161367907282,0.026915483346025587,6
132,0.11740912277818688,-0.045592112200044166,6
133,0.06640690934866994,-0.02000001122638234,6
134,0.015447928596837801,0.0014309222362638985,6
135,-0.020884537662811786,0.03221884737908964,6
136,0.023283294384247144,-0.038977859413540844,6
137,-0.03795002086170701,0.06519455539811948,6
138,0.056864054138553,-0.07210955925303003,6
139,-0.00979452945766357,-0.008468942848578909,6
140,0.013802552394481193,-0.024227807828544723,6
141,0.04617833705458768,-0.01864447868945915,6
142,0.17295276250429553,-0.08250298834530026,8
143,-0.00104784308019934,-0.015927042296891153,6
144,0.0005527785992108236,0.008559658453251323,6
145,0.015486287607847815,-0.011720491377190112,6
146,0.0012259915793145781,-0.009966939624986848,6
147,-0.0285432274904866,0.007786667038227224,6
148,-0.04606370046475716,0.09619266681874354,6
149,-0.02508409525065497,0.0020870583901443918,6
150,-0.022903333760687594,-0.011030948867582768,6
151,0.039749030014737036,-0.06778882667584077,6
152,0.003591613228264734,-0.05397639788446784,6
153,0.0004980453946870633,0.006266457648641671,6
154,0.042319880091315765,-0.01261536752871692,6
155,0.07332280919446785,-0.04598334427081355,6
156,0.20047774401016216,-0.08227656860047533,8
