component,explained_variance,explained_variance_ratio,cumulative_ratio,singular_value
PC1,0.03450466022946039,0.34490526184893594,0.34490526184893594,117.68777399852121
PC2,0.020302364413781415,0.20294048014734814,0.5478457419962841,90.27464312996622
