contrast,cluster,kind,wavelength_nm,difference,aggregation
B0-M00,1,reflectance,1235.2839607843139,0.005913866189877215,difference of equal-sample representative means; not paired
B0-M00,1,reflectance,1240.7447058823532,0.006202956201620924,difference of equal-sample representative means; not paired
B0-M00,1,reflectance,1246.2054509803922,0.00654592466295445,difference of equal-sample representative means; not paired
B0-M00,1,reflectance,1251.6661960784315,0.006848852344868761,difference of equal-sample representative means; not paired
B0-M00,1,reflectance,1257.1269411764706,0.007093574944590397,difference of equal-sample representative means; not paired
B0-M00,1,reflectance,1262.58768627451,0.007281366641822995,difference of equal-sample representative means; not paired
B0-M00,1,reflectance,1268.0484313725492,0.007400930129271122,difference of equal-sample representative means; not paired
B0-M00,1,reflectance,1273.5091764705883,0.007663760277074938,difference of equal-sample representative means; not paired
B0-M00,1,reflectance,1278.9699215686276,0.007793064530441374,difference of equal-sample representative means; not paired
B0-M00,1,reflectance,1284.4306666666666,0.008066078132999754,difference of equal-sample representative means; not paired
B0-M00,1,reflectance,1289.891411764706,0.008367478546324358,difference of equal-sample representative means; not paired
B0-M00,1,reflectance,1295.3521568627452,0.00869226625421271,difference of equal-sample representative means; not paired
B0-M00,1,reflectance,1300.8129019607845,0.008796312919726823,difference of equal-sample representative means; not paired
B0-M00,1,reflectance,1306.2736470588236,0.008571580987360994,difference of equal-sample representative means; not paired
B0-M00,1,reflectance,1311.734392156863,0.009053324614486491,difference of equal-sample representative means; not paired
B0-M00,1,reflectance,1317.195137254902,0.008861233062601337,difference of equal-sample representative means; not paired
B0-M00,1,reflectance,1322.6558823529413,0.008663322934409301,difference of equal-sample representative means; not paired
B0-M00,1,reflectance,1328.1166274509806,0.00828595869713733,difference of equal-sample representative means; not paired
B0-M00,1,reflectance,1333.5773725490199,0.007733091585674701,difference of equal-sample representative means; not paired
B0-M00,1,reflectance,1339.038117647059,0.007058813466127911,difference of equal-sample representative means; not paired
B0-M00,1,reflectance,1344.4988627450982,0.006283060321828904,difference of equal-sample representative means; not paired
B0-M00,1,reflectance,1349.9596078431373,0.005376447505537896,difference of equal-sample representative means; not paired
B0-M00,1,reflectance,1355.4203529411766,0.0045304316039321835,difference of equal-sample representative means; not paired
B0-M00,1,reflectance,1360.8810980392159,0.003715622633344684,difference of equal-sample representative means; not paired
B0-M00,1,reflectance,1366.341843137255,0.0030629726426070203,difference of equal-sample representative means; not paired
B0-M00,1,reflectance,1371.8025882352943,0.002539277314225763,difference of equal-sample representative means; not paired
B0-M00,1,reflectance,1377.2633333333333,0.0021232276347801227,difference of equal-sample representative means; not paired
B0-M00,1,reflectance,1382.7240784313726,0.0017934848842412476,difference of equal-sample representative means; not paired
B0-M00,1,reflectance,1388.184823529412,0.0014818934770219894,difference of equal-sample representative means; not paired
B0-M00,1,reflectance,1393.6455686274512,0.0010116328074672998,difference of equal-sample representative means; not paired
B0-M00,1,reflectance,1399.1063137254903,0.000400872480526282,difference of equal-sample representative means; not paired
B0-M00,1,reflectance,1404.5670588235296,-0.00013871760815370449,difference of equal-sample representative means; not paired
B0-M00,1,reflectance,1410.0278039215686,-0.0005926576638309311,difference of equal-sample representative means; not paired
B0-M00,1,reflectance,1415.488549019608,-0.0009798722851062092,difference of equal-sample representative means; not paired
B0-M00,1,reflectance,1420.9492941176472,-0.001258035221407161,difference of equal-sample representative means; not paired
B0-M00,1,reflectance,1426.4100392156865,-0.0014033494931354196,difference of equal-sample representative means; not paired
B0-M00,1,reflectance,1431.8707843137256,-0.0015466653671177832,difference of equal-sample representative means; not paired
B0-M00,1,reflectance,1437.3315294117647,-0.0016067296541192877,difference of equal-sample representative means; not paired
B0-M00,1,reflectance,1442.792274509804,-0.0016505428202645556,difference of equal-sample representative means; not paired
B0-M00,1,reflectance,1448.2530196078433,-0.0016289244730299801,difference of equal-sample representative means; not paired
B0-M00,1,reflectance,1453.7137647058826,-0.0016272870479661083,difference of equal-sample representative means; not paired
B0-M00,1,reflectance,1459.1745098039219,-0.0016708925983633383,difference of equal-sample representative means; not paired
B0-M00,1,reflectance,1464.635254901961,-0.0017226272234527884,difference of equal-sample representative means; not paired
B0-M00,1,reflectance,1470.096,-0.0017376004757358454,difference of equal-sample representative means; not paired
B0-M00,1,reflectance,1475.5567450980393,-0.0017382845838839756,difference of equal-sample representative means; not paired
B0-M00,1,reflectance,1481.0174901960786,-0.0017774774390270642,difference of equal-sample representative means; not paired
B0-M00,1,reflectance,1486.478235294118,-0.0018350684252120275,difference of equal-sample representative means; not paired
B0-M00,1,reflectance,1491.938980392157,-0.0018936291414550221,difference of equal-sample representative means; not paired
B0-M00,1,reflectance,1497.3997254901963,-0.001938662986815165,difference of equal-sample representative means; not paired
B0-M00,1,reflectance,1502.8604705882353,-0.0019833919070303963,difference of equal-sample representative means; not paired
B0-M00,1,reflectance,1508.3212156862746,-0.0020442334920519056,difference of equal-sample representative means; not paired
B0-M00,1,reflectance,1513.781960784314,-0.0020867286812086827,difference of equal-sample representative means; not paired
B0-M00,1,reflectance,1519.2427058823532,-0.0021510985593349297,difference of equal-sample representative means; not paired
B0-M00,1,reflectance,1524.7034509803923,-0.0021495784791571437,difference of equal-sample representative means; not paired
B0-M00,1,reflectance,1530.1641960784316,-0.0022073295748891164,difference of equal-sample representative means; not paired
B0-M00,1,reflectance,1535.6249411764707,-0.0022492502711292106,difference of equal-sample representative means; not paired
B0-M00,1,reflectance,1541.08568627451,-0.002297778746549184,difference of equal-sample representative means; not paired
B0-M00,1,reflectance,1546.5464313725493,-0.002372073084346338,difference of equal-sample representative means; not paired
B0-M00,1,reflectance,1552.0071764705885,-0.002387034444948366,difference of equal-sample representative means; not paired
B0-M00,1,reflectance,1557.4679215686276,-0.0024227520239042954,difference of equal-sample representative means; not paired
B0-M00,1,reflectance,1562.9286666666667,-0.0025860081490011733,difference of equal-sample representative means; not paired
B0-M00,1,reflectance,1568.389411764706,-0.0025455820937465568,difference of equal-sample representative means; not paired
B0-M00,1,reflectance,1573.8501568627453,-0.00252869501401376,difference of equal-sample representative means; not paired
B0-M00,1,reflectance,1579.3109019607846,-0.002566908743518337,difference of equal-sample representative means; not paired
B0-M00,1,reflectance,1584.7716470588239,-0.002608950479606298,difference of equal-sample representative means; not paired
B0-M00,1,reflectance,1590.232392156863,-0.002627072164223143,difference of equal-sample representative means; not paired
B0-M00,1,reflectance,1595.693137254902,-0.0026473111173245245,difference of equal-sample representative means; not paired
B0-M00,1,reflectance,1601.1538823529413,-0.002727418308064944,difference of equal-sample representative means; not paired
B0-M00,1,reflectance,1606.6146274509806,-0.002719035993392349,difference of equal-sample representative means; not paired
B0-M00,1,reflectance,1612.07537254902,-0.0026915066577879454,difference of equal-sample representative means; not paired
B0-M00,1,reflectance,1617.536117647059,-0.0026747537227588825,difference of equal-sample representative means; not paired
B0-M00,1,reflectance,1622.9968627450983,-0.002714633285145651,difference of equal-sample representative means; not paired
B0-M00,1,reflectance,1628.4576078431373,-0.002800663841288742,difference of equal-sample representative means; not paired
B0-M00,1,reflectance,1633.9183529411766,-0.0028337405692954176,difference of equal-sample representative means; not paired
B0-M00,1,reflectance,1639.379098039216,-0.0028393961063895023,difference of equal-sample representative means; not paired
B0-M00,1,reflectance,1644.8398431372552,-0.0028416239662514275,difference of equal-sample representative means; not paired
