sample_id,condition,cluster,pixels,fraction,sample_pixels,valid_pixels,used_clusters,max_occupancy,single_cluster,cluster_counts
KYOw02716,B0,5,1836,0.02923613433334926,62799,62799,8,0.58289144731604,False,"[36605, 45, 219, 7, 1836, 21608, 926, 1553]"
KYOw02716,B0,8,1553,0.024729693147980063,62799,62799,8,0.58289144731604,False,"[36605, 45, 219, 7, 1836, 21608, 926, 1553]"
KYOw02716,B0,1,36605,0.58289144731604,62799,62799,8,0.58289144731604,False,"[36605, 45, 219, 7, 1836, 21608, 926, 1553]"
KYOw02716,B0,2,45,0.0007165719199350308,62799,62799,8,0.58289144731604,False,"[36605, 45, 219, 7, 1836, 21608, 926, 1553]"
KYOw02716,B0,3,219,0.00348731667701715,62799,62799,8,0.58289144731604,False,"[36605, 45, 219, 7, 1836, 21608, 926, 1553]"
KYOw02716,B0,6,21608,0.3440819121323588,62799,62799,8,0.58289144731604,False,"[36605, 45, 219, 7, 1836, 21608, 926, 1553]"
KYOw02717,B0,7,19227,0.2343498610501682,82044,82044,8,0.5756301496757837,False,"[47227, 28, 126, 22, 3068, 10918, 19227, 1428]"
KYOw02717,B0,4,22,0.0002681487982058408,82044,82044,8,0.5756301496757837,False,"[47227, 28, 126, 22, 3068, 10918, 19227, 1428]"
KYOw02717,B0,5,3068,0.037394568767978156,82044,82044,8,0.5756301496757837,False,"[47227, 28, 126, 22, 3068, 10918, 19227, 1428]"
KYOw02717,B0,8,1428,0.017405294719906393,82044,82044,8,0.5756301496757837,False,"[47227, 28, 126, 22, 3068, 10918, 19227, 1428]"
KYOw02717,B0,1,47227,0.5756301496757837,82044,82044,8,0.5756301496757837,False,"[47227, 28, 126, 22, 3068, 10918, 19227, 1428]"
KYOw02717,B0,2,28,0.0003412802886256155,82044,82044,8,0.5756301496757837,False,"[47227, 28, 126, 22, 3068, 10918, 19227, 1428]"
KYOw02717,B0,3,126,0.00153576129881527,82044,82044,8,0.5756301496757837,False,"[47227, 28, 126, 22, 3068, 10918, 19227, 1428]"
KYOw02717,B0,6,10918,0.1330749354005168,82044,82044,8,0.5756301496757837,False,"[47227, 28, 126, 22, 3068, 10918, 19227, 1428]"
KYOw02719,B0,7,18182,0.23666159032631756,76827,76827,8,0.6606010907623622,False,"[50752, 1, 66, 57, 1394, 5392, 18182, 983]"
KYOw02719,B0,4,57,0.0007419266664063415,76827,76827,8,0.6606010907623622,False,"[50752, 1, 66, 57, 1394, 5392, 18182, 983]"
KYOw02719,B0,5,1394,0.018144662683691932,76827,76827,8,0.6606010907623622,False,"[50752, 1, 66, 57, 1394, 5392, 18182, 983]"
KYOw02719,B0,8,983,0.012794980931183048,76827,76827,8,0.6606010907623622,False,"[50752, 1, 66, 57, 1394, 5392, 18182, 983]"
KYOw02719,B0,1,50752,0.6606010907623622,76827,76827,8,0.6606010907623622,False,"[50752, 1, 66, 57, 1394, 5392, 18182, 983]"
KYOw02719,B0,2,1,1.3016257305374412e-05,76827,76827,8,0.6606010907623622,False,"[50752, 1, 66, 57, 1394, 5392, 18182, 983]"
KYOw02719,B0,3,66,0.0008590729821547112,76827,76827,8,0.6606010907623622,False,"[50752, 1, 66, 57, 1394, 5392, 18182, 983]"
KYOw02719,B0,6,5392,0.07018365939057883,76827,76827,8,0.6606010907623622,False,"[50752, 1, 66, 57, 1394, 5392, 18182, 983]"
KYOw02720,B0,7,67985,0.5182810617957827,131174,131174,8,0.5182810617957827,False,"[48968, 1040, 10, 1, 1298, 11037, 67985, 835]"
KYOw02720,B0,4,1,7.623461966548249e-06,131174,131174,8,0.5182810617957827,False,"[48968, 1040, 10, 1, 1298, 11037, 67985, 835]"
KYOw02720,B0,5,1298,0.009895253632579627,131174,131174,8,0.5182810617957827,False,"[48968, 1040, 10, 1, 1298, 11037, 67985, 835]"
KYOw02720,B0,8,835,0.006365590742067788,131174,131174,8,0.5182810617957827,False,"[48968, 1040, 10, 1, 1298, 11037, 67985, 835]"
KYOw02720,B0,1,48968,0.37330568557793464,131174,131174,8,0.5182810617957827,False,"[48968, 1040, 10, 1, 1298, 11037, 67985, 835]"
KYOw02720,B0,2,1040,0.007928400445210178,131174,131174,8,0.5182810617957827,False,"[48968, 1040, 10, 1, 1298, 11037, 67985, 835]"
KYOw02720,B0,3,10,7.623461966548249e-05,131174,131174,8,0.5182810617957827,False,"[48968, 1040, 10, 1, 1298, 11037, 67985, 835]"
KYOw02720,B0,6,11037,0.08414014972479303,131174,131174,8,0.5182810617957827,False,"[48968, 1040, 10, 1, 1298, 11037, 67985, 835]"
KYOw02751,B0,7,3018,0.04222809889602485,71469,71469,7,0.4272341854510347,False,"[29503, 0, 105, 396, 5216, 30534, 3018, 2697]"
KYOw02751,B0,4,396,0.0055408638710489864,71469,71469,7,0.4272341854510347,False,"[29503, 0, 105, 396, 5216, 30534, 3018, 2697]"
KYOw02751,B0,5,5216,0.07298269179644322,71469,71469,7,0.4272341854510347,False,"[29503, 0, 105, 396, 5216, 30534, 3018, 2697]"
KYOw02751,B0,8,2697,0.037736641061159384,71469,71469,7,0.4272341854510347,False,"[29503, 0, 105, 396, 5216, 30534, 3018, 2697]"
KYOw02751,B0,1,29503,0.4128083504736319,71469,71469,7,0.4272341854510347,False,"[29503, 0, 105, 396, 5216, 30534, 3018, 2697]"
KYOw02751,B0,2,0,0.0,71469,71469,7,0.4272341854510347,False,"[29503, 0, 105, 396, 5216, 30534, 3018, 2697]"
KYOw02751,B0,3,105,0.001469168450656928,71469,71469,7,0.4272341854510347,False,"[29503, 0, 105, 396, 5216, 30534, 3018, 2697]"
