sample_id,condition,cluster,pixels,pseudoabsorbance_pixels,pseudoabsorbance_excluded_pixels,pseudoabsorbance_defined
KYOw02764,M00,5,843,843,0,True
KYOw02764,M00,6,23903,23903,0,True
KYOw02764,M00,7,12763,12762,1,True
KYOw02764,M00,8,597,597,0,True
KYOw02766,M00,1,5556,5556,0,True
KYOw02766,M00,2,77,77,0,True
KYOw02766,M00,3,2559,2559,0,True
KYOw02766,M00,4,1343,1343,0,True
KYOw02766,M00,5,1402,1402,0,True
KYOw02766,M00,6,12311,12311,0,True
KYOw02766,M00,7,10342,10341,1,True
KYOw02766,M00,8,12586,12586,0,True
KYOw02767,M00,1,24920,24920,0,True
KYOw02767,M00,2,0,0,0,False
KYOw02767,M00,3,2379,2379,0,True
KYOw02767,M00,4,38,38,0,True
KYOw02767,M00,5,94808,94808,0,True
KYOw02767,M00,6,5330,5330,0,True
KYOw02767,M00,7,21017,21017,0,True
KYOw02767,M00,8,3651,3651,0,True
KYOw02768,M00,1,86,86,0,True
KYOw02768,M00,2,6,6,0,True
KYOw02768,M00,3,19657,19657,0,True
KYOw02768,M00,4,664,664,0,True
KYOw02768,M00,5,168,168,0,True
KYOw02768,M00,6,594,594,0,True
KYOw02768,M00,7,11261,11261,0,True
KYOw02768,M00,8,33456,33455,1,True
KYOw02769,M00,1,101194,101194,0,True
KYOw02769,M00,2,40,40,0,True
KYOw02769,M00,3,1391,1391,0,True
KYOw02769,M00,4,87,87,0,True
KYOw02769,M00,5,3950,3950,0,True
KYOw02769,M00,6,11005,11005,0,True
KYOw02769,M00,7,41237,41237,0,True
KYOw02769,M00,8,2830,2830,0,True
KYOw02770,M00,1,325,325,0,True
KYOw02770,M00,2,3499,3499,0,True
KYOw02770,M00,3,1037,1037,0,True
KYOw02770,M00,4,0,0,0,False
KYOw02770,M00,5,287,287,0,True
KYOw02770,M00,6,19519,19519,0,True
KYOw02770,M00,7,6098,6098,0,True
KYOw02770,M00,8,2638,2638,0,True
KYOw02771,M00,1,92227,92227,0,True
KYOw02771,M00,2,7,7,0,True
KYOw02771,M00,3,426,426,0,True
KYOw02771,M00,4,0,0,0,False
KYOw02771,M00,5,9327,9327,0,True
KYOw02771,M00,6,688,688,0,True
KYOw02771,M00,7,11057,11057,0,True
KYOw02771,M00,8,364,364,0,True
KYOw02772,M00,1,10188,10188,0,True
KYOw02772,M00,2,2481,2481,0,True
KYOw02772,M00,3,6630,6630,0,True
KYOw02772,M00,4,92,92,0,True
KYOw02772,M00,5,1532,1532,0,True
KYOw02772,M00,6,25256,25256,0,True
KYOw02772,M00,7,19020,19019,1,True
KYOw02772,M00,8,8012,8012,0,True
KYOw02773,M00,1,7358,7358,0,True
KYOw02773,M00,2,0,0,0,False
KYOw02773,M00,3,408,408,0,True
KYOw02773,M00,4,0,0,0,False
KYOw02773,M00,5,358,358,0,True
KYOw02773,M00,6,5230,5230,0,True
KYOw02773,M00,7,37809,37809,0,True
KYOw02773,M00,8,1455,1455,0,True
KYOw02774,M00,1,10176,10176,0,True
KYOw02774,M00,2,5675,5673,2,True
KYOw02774,M00,3,991,991,0,True
KYOw02774,M00,4,0,0,0,False
KYOw02774,M00,5,2416,2416,0,True
KYOw02774,M00,6,10390,10390,0,True
KYOw02774,M00,7,8629,8629,0,True
KYOw02774,M00,8,650,650,0,True
KYOw02775,M00,1,7388,7388,0,True
KYOw02775,M00,2,0,0,0,False
KYOw02775,M00,3,2295,2295,0,True
KYOw02775,M00,4,0,0,0,False
KYOw02775,M00,5,5278,5278,0,True
KYOw02775,M00,6,18662,18662,0,True
KYOw02775,M00,7,11926,11926,0,True
KYOw02775,M00,8,6156,6156,0,True
KYOw02776,M00,1,9815,9815,0,True
KYOw02776,M00,2,0,0,0,False
KYOw02776,M00,3,7069,7069,0,True
KYOw02776,M00,4,10,10,0,True
KYOw02776,M00,5,70718,70718,0,True
KYOw02776,M00,6,965,965,0,True
KYOw02776,M00,7,741,741,0,True
KYOw02776,M00,8,2157,2157,0,True
KYOw02777,M00,1,27780,27780,0,True
KYOw02777,M00,2,4,4,0,True
KYOw02777,M00,3,2444,2444,0,True
KYOw02777,M00,4,614,614,0,True
KYOw02777,M00,5,85000,85000,0,True
KYOw02777,M00,6,924,924,0,True
KYOw02777,M00,7,2047,2047,0,True
KYOw02777,M00,8,2874,2874,0,True
KYOw02780,M00,1,11823,11823,0,True
KYOw02780,M00,2,0,0,0,False
KYOw02780,M00,3,271,271,0,True
KYOw02780,M00,4,0,0,0,False
KYOw02780,M00,5,18689,18688,1,True
KYOw02780,M00,6,7101,7101,0,True
KYOw02780,M00,7,18238,18237,1,True
KYOw02780,M00,8,342,342,0,True
KYOw02783,M00,1,32481,32481,0,True
KYOw02783,M00,2,8,8,0,True
KYOw02783,M00,3,690,690,0,True
KYOw02783,M00,4,0,0,0,False
KYOw02783,M00,5,12828,12828,0,True
KYOw02783,M00,6,13318,13318,0,True
KYOw02783,M00,7,24366,24366,0,True
KYOw02783,M00,8,527,527,0,True
KYOw02784,M00,1,61484,61483,1,True
KYOw02784,M00,2,0,0,0,False
KYOw02784,M00,3,308,308,0,True
KYOw02784,M00,4,0,0,0,False
KYOw02784,M00,5,11341,11341,0,True
KYOw02784,M00,6,28481,28481,0,True
KYOw02784,M00,7,15734,15734,0,True
KYOw02784,M00,8,201,201,0,True
KYOw02787,M00,1,78293,78293,0,True
KYOw02787,M00,2,7,7,0,True
KYOw02787,M00,3,862,862,0,True
KYOw02787,M00,4,0,0,0,False
KYOw02787,M00,5,6564,6564,0,True
KYOw02787,M00,6,6168,6168,0,True
KYOw02787,M00,7,14372,14372,0,True
KYOw02787,M00,8,418,418,0,True
KYOw02788,M00,1,0,0,0,False
KYOw02788,M00,2,0,0,0,False
KYOw02788,M00,3,5261,5261,0,True
KYOw02788,M00,4,7038,7038,0,True
KYOw02788,M00,5,31,31,0,True
KYOw02788,M00,6,11,11,0,True
KYOw02788,M00,7,220,220,0,True
KYOw02788,M00,8,99733,99733,0,True
KYOw02789,M00,1,0,0,0,False
KYOw02789,M00,2,0,0,0,False
KYOw02789,M00,3,361,361,0,True
KYOw02789,M00,4,125515,125515,0,True
KYOw02789,M00,5,0,0,0,False
KYOw02789,M00,6,0,0,0,False
KYOw02789,M00,7,1,1,0,True
KYOw02789,M00,8,69,69,0,True
KYOw02790,M00,1,1,1,0,True
KYOw02790,M00,2,0,0,0,False
KYOw02790,M00,3,2612,2612,0,True
KYOw02790,M00,4,284,284,0,True
KYOw02790,M00,5,2884,2884,0,True
KYOw02790,M00,6,2475,2475,0,True
KYOw02790,M00,7,1736,1736,0,True
KYOw02790,M00,8,16257,16257,0,True
KYOw16662,M00,1,27360,27360,0,True
KYOw16662,M00,2,193,193,0,True
KYOw16662,M00,3,637,637,0,True
KYOw16662,M00,4,344,344,0,True
KYOw16662,M00,5,6056,6056,0,True
KYOw16662,M00,6,5670,5670,0,True
KYOw16662,M00,7,7470,7470,0,True
KYOw16662,M00,8,1195,1195,0,True
KYOw16666,M00,1,22,22,0,True
KYOw16666,M00,2,0,0,0,False
KYOw16666,M00,3,717,717,0,True
KYOw16666,M00,4,0,0,0,False
KYOw16666,M00,5,304,304,0,True
KYOw16666,M00,6,51164,51164,0,True
KYOw16666,M00,7,4246,4246,0,True
KYOw16666,M00,8,1885,1885,0,True
KYOw16700,M00,1,22647,22647,0,True
KYOw16700,M00,2,0,0,0,False
KYOw16700,M00,3,315,315,0,True
KYOw16700,M00,4,0,0,0,False
KYOw16700,M00,5,679,679,0,True
KYOw16700,M00,6,6544,6544,0,True
KYOw16700,M00,7,24231,24231,0,True
KYOw16700,M00,8,622,622,0,True
KYOw16702,M00,1,56,56,0,True
KYOw16702,M00,2,25,25,0,True
KYOw16702,M00,3,679,679,0,True
KYOw16702,M00,4,732,732,0,True
KYOw16702,M00,5,1149,1149,0,True
KYOw16702,M00,6,19396,19396,0,True
KYOw16702,M00,7,8445,8445,0,True
KYOw16702,M00,8,3457,3457,0,True
KYOw16711,M00,1,25054,25054,0,True
KYOw16711,M00,2,3,3,0,True
KYOw16711,M00,3,1383,1383,0,True
KYOw16711,M00,4,1,1,0,True
KYOw16711,M00,5,1344,1344,0,True
KYOw16711,M00,6,17261,17261,0,True
KYOw16711,M00,7,22575,22575,0,True
KYOw16711,M00,8,14391,14391,0,True
KYOw16714,M00,1,19363,19363,0,True
KYOw16714,M00,2,0,0,0,False
