condition,contrast,cluster,kind,wavelength_nm,difference,aggregation
B1,B1-M00,1,reflectance,913.1,-0.004945715917510696,difference of equal-sample representative means; not paired
B1,B1-M00,1,reflectance,918.5607450980392,-0.0052430575858370965,difference of equal-sample representative means; not paired
B1,B1-M00,1,reflectance,924.0214901960785,-0.005243315757543443,difference of equal-sample representative means; not paired
B1,B1-M00,1,reflectance,929.4822352941177,-0.005480247161637419,difference of equal-sample representative means; not paired
B1,B1-M00,1,reflectance,934.9429803921569,-0.005639010473568851,difference of equal-sample representative means; not paired
B1,B1-M00,1,reflectance,940.4037254901962,-0.0057982604504692725,difference of equal-sample representative means; not paired
B1,B1-M00,1,reflectance,945.8644705882353,-0.006256933917728524,difference of equal-sample representative means; not paired
B1,B1-M00,1,reflectance,951.3252156862745,-0.006499405636269384,difference of equal-sample representative means; not paired
B1,B1-M00,1,reflectance,956.7859607843137,-0.0066347661548734616,difference of equal-sample representative means; not paired
B1,B1-M00,1,reflectance,962.246705882353,-0.006593671591766714,difference of equal-sample representative means; not paired
B1,B1-M00,1,reflectance,967.7074509803922,-0.006735822850699624,difference of equal-sample representative means; not paired
B1,B1-M00,1,reflectance,973.1681960784314,-0.006855380749940743,difference of equal-sample representative means; not paired
B1,B1-M00,1,reflectance,978.6289411764706,-0.006911572848971592,difference of equal-sample representative means; not paired
B1,B1-M00,1,reflectance,984.0896862745099,-0.007000526137830088,difference of equal-sample representative means; not paired
B1,B1-M00,1,reflectance,989.550431372549,-0.007107969250047308,difference of equal-sample representative means; not paired
B1,B1-M00,1,reflectance,995.0111764705882,-0.0071463474469209975,difference of equal-sample representative means; not paired
B1,B1-M00,1,reflectance,1000.4719215686275,-0.007215318969999607,difference of equal-sample representative means; not paired
B1,B1-M00,1,reflectance,1005.9326666666667,-0.0074240718383049575,difference of equal-sample representative means; not paired
B1,B1-M00,1,reflectance,1011.3934117647059,-0.0075132240278096285,difference of equal-sample representative means; not paired
B1,B1-M00,1,reflectance,1016.8541568627452,-0.007584307242834654,difference of equal-sample representative means; not paired
B1,B1-M00,1,reflectance,1022.3149019607844,-0.007727113003410557,difference of equal-sample representative means; not paired
B1,B1-M00,1,reflectance,1027.7756470588236,-0.007794193647270742,difference of equal-sample representative means; not paired
B1,B1-M00,1,reflectance,1033.2363921568628,-0.007979226654631022,difference of equal-sample representative means; not paired
B1,B1-M00,1,reflectance,1038.697137254902,-0.008013861548473944,difference of equal-sample representative means; not paired
B1,B1-M00,1,reflectance,1044.1578823529412,-0.0082454352026341,difference of equal-sample representative means; not paired
B1,B1-M00,1,reflectance,1049.6186274509805,-0.008392197682890457,difference of equal-sample representative means; not paired
B1,B1-M00,1,reflectance,1055.0793725490196,-0.008464276996223652,difference of equal-sample representative means; not paired
B1,B1-M00,1,reflectance,1060.5401176470589,-0.008599062551763348,difference of equal-sample representative means; not paired
B1,B1-M00,1,reflectance,1066.0008627450982,-0.008833613673989382,difference of equal-sample representative means; not paired
B1,B1-M00,1,reflectance,1071.4616078431372,-0.00890885367157801,difference of equal-sample representative means; not paired
B1,B1-M00,1,reflectance,1076.9223529411765,-0.008997308162847495,difference of equal-sample representative means; not paired
B1,B1-M00,1,reflectance,1082.3830980392158,-0.00919343486912727,difference of equal-sample representative means; not paired
B1,B1-M00,1,reflectance,1087.843843137255,-0.009260999706372619,difference of equal-sample representative means; not paired
B1,B1-M00,1,reflectance,1093.3045882352942,-0.009342483690443437,difference of equal-sample representative means; not paired
B1,B1-M00,1,reflectance,1098.7653333333333,-0.009488872750414656,difference of equal-sample representative means; not paired
B1,B1-M00,1,reflectance,1104.2260784313726,-0.00963415100126963,difference of equal-sample representative means; not paired
B1,B1-M00,1,reflectance,1109.6868235294119,-0.009774159994858422,difference of equal-sample representative means; not paired
B1,B1-M00,1,reflectance,1115.1475686274512,-0.009758571379654524,difference of equal-sample representative means; not paired
B1,B1-M00,1,reflectance,1120.6083137254902,-0.009768925882405965,difference of equal-sample representative means; not paired
B1,B1-M00,1,reflectance,1126.0690588235295,-0.0097142897666046,difference of equal-sample representative means; not paired
B1,B1-M00,1,reflectance,1131.5298039215686,-0.009698139881777479,difference of equal-sample representative means; not paired
B1,B1-M00,1,reflectance,1136.990549019608,-0.009667411353943,difference of equal-sample representative means; not paired
B1,B1-M00,1,reflectance,1142.4512941176472,-0.0095825191157064,difference of equal-sample representative means; not paired
B1,B1-M00,1,reflectance,1147.9120392156863,-0.009540449868512768,difference of equal-sample representative means; not paired
B1,B1-M00,1,reflectance,1153.3727843137256,-0.009369046618051824,difference of equal-sample representative means; not paired
