condition,reference_cluster,original_target_cluster,display_target_cluster,snv_cosine_similarity,iou,pixel_count,assigned
B1,1,1,1,0.9999438523691412,0.5280757307106758,716274,True
B1,2,1,1,0.9764744021215612,5.336172967896398e-05,45,False
B1,3,1,1,0.902675837380083,0.0,0,False
B1,4,1,1,0.8657636650934977,0.0,0,False
B1,5,1,1,0.9900641799106511,0.013593353024441925,17180,False
B1,6,1,1,0.998420142930257,0.01291791090748324,20760,False
B1,7,1,1,0.9972080933959573,0.0006926546511983746,928,False
B1,8,1,1,0.9793753632998682,0.0,0,False
B1,1,2,6,0.9993388770758967,0.019295099158603335,29844,False
B1,2,2,6,0.9717196595624391,0.027160617991321145,9182,False
B1,3,2,6,0.9084038692677012,0.0,0,False
B1,4,2,6,0.871545473257759,0.0,0,False
B1,5,2,6,0.9917866628866585,0.005789234944529442,4518,False
B1,6,2,6,0.9994628666338418,0.2303098032991475,211856,True
B1,7,2,6,0.9964215616288358,0.004383325762206361,3686,False
B1,8,2,6,0.982763044928171,0.0,0,False
B1,1,3,4,0.9779632853498216,0.004929510887337791,9542,False
B1,2,3,4,0.9142091427764565,1.3968275253244831e-05,10,False
B1,3,3,4,0.9716935663827779,0.10835124727424568,70061,False
B1,4,3,4,0.9498926258877352,0.22288979113340351,139934,True
B1,5,3,4,0.9952408775050076,0.039295019405615195,43617,False
B1,6,3,4,0.985234721694136,0.06410126388367816,90384,False
B1,7,3,4,0.9628765773642506,0.0008884701813898083,1077,False
B1,8,3,4,0.99972777821598,0.4278843743733708,273134,False
B1,1,4,5,0.9991497036550301,0.14634774446918022,215950,False
B1,2,4,5,0.9665376163365027,1.0817195879946433e-05,5,False
B1,3,4,5,0.9211077794255407,0.0,0,False
B1,4,4,5,0.8840719065825905,0.0,0,False
B1,5,4,5,0.9954345417963986,0.16890055008215513,130034,True
B1,6,4,5,0.9991270392241758,0.022976659842539066,28002,False
B1,7,4,5,0.9930135363784205,8.546073235678814e-05,82,False
B1,8,4,5,0.9863553825375249,0.0,0,False
B1,1,5,3,0.9887678405645381,0.013807110339443986,23984,False
B1,2,5,3,0.9341289700990554,7.522940265973553e-05,40,False
B1,3,5,3,0.9580790281386566,0.036700159058033796,18851,True
B1,4,5,3,0.9241458427849127,0.0,0,False
B1,5,5,3,0.9998407474383579,0.5082504348475466,326680,False
B1,6,5,3,0.9931069884635675,0.05747436719386451,71538,False
B1,7,5,3,0.9753668275625085,6.99688055741815e-05,72,False
B1,8,5,3,0.9967027665720964,0.0033426406723356824,2423,False
B1,1,6,7,0.9982592364978002,0.0070862331040781965,10396,False
B1,2,6,7,0.9709286884817006,0.0005443153319517132,135,False
B1,3,6,7,0.909902720296005,0.0,0,False
B1,4,6,7,0.8815182181702478,0.00019337974447200662,58,False
B1,5,6,7,0.9904351860341509,0.0003894552440075674,267,False
B1,6,6,7,0.9990261395354196,0.09033066655967192,85551,False
B1,7,6,7,0.996417428235181,0.08500654926502693,58408,True
B1,8,6,7,0.9853478152182329,0.011810018106110013,5179,False
B1,1,7,2,0.9973505782673894,0.14544553284464484,308676,False
B1,2,7,2,0.9852667708194374,0.0701018680710966,78719,True
B1,3,7,2,0.8752718651217072,0.0,0,False
B1,4,7,2,0.8397059110813312,0.0,0,False
B1,5,7,2,0.9794261265532602,0.00027030556121658246,443,False
B1,6,7,2,0.9946227957136591,0.11498924659952832,204830,False
B1,7,7,2,0.9999123686015985,0.4420497003009722,520815,False
B1,8,7,2,0.9678089208143492,0.0,0,False
B1,1,8,8,0.9975270312558349,0.0018911592685001341,2806,False
B1,2,8,8,0.9606545178627071,8.941900970390644e-05,23,False
B1,3,8,8,0.9267291716237319,0.0,0,False
B1,4,8,8,0.8934452200871384,0.0,0,False
B1,5,8,8,0.9960660405985315,0.004491059077591104,3107,False
B1,6,8,8,0.9997217123510813,0.18109163141538387,159723,False
B1,7,8,8,0.9918987661307725,0.0005913958533338284,446,False
B1,8,8,8,0.9906656526709279,0.006613815426752272,2975,True
