condition,original_cluster,display_cluster,snv_cosine_similarity,best_other_target_snv_cosine_similarity,assigned_minus_best_other,iou,overlap_pixels,common_pixels,condition_overlap_pixels,condition_overlap_fraction
B1,1,1,0.9999438523691412,0.9993388770758967,0.0006049752932444363,0.5280757307106758,716274,3902250,1357051,0.3477611634313537
B1,2,6,0.9994628666338418,0.9997217123510813,-0.0002588457172395531,0.2303098032991475,211856,3902250,1357051,0.3477611634313537
B1,3,4,0.9498926258877352,0.9241458427849127,0.025746783102822413,0.22288979113340351,139934,3902250,1357051,0.3477611634313537
B1,4,5,0.9954345417963986,0.9998407474383579,-0.004406205641959371,0.16890055008215513,130034,3902250,1357051,0.3477611634313537
B1,5,3,0.9580790281386566,0.9716935663827779,-0.013614538244121288,0.036700159058033796,18851,3902250,1357051,0.3477611634313537
B1,6,7,0.996417428235181,0.9999123686015985,-0.0034949403664175094,0.08500654926502693,58408,3902250,1357051,0.3477611634313537
B1,7,2,0.9852667708194374,0.9764744021215612,0.00879236869787614,0.0701018680710966,78719,3902250,1357051,0.3477611634313537
B1,8,8,0.9906656526709279,0.99972777821598,-0.009062125545052147,0.006613815426752272,2975,3902250,1357051,0.3477611634313537
