sample_id,condition,cluster,pixels,pseudoabsorbance_pixels,pseudoabsorbance_excluded_pixels,pseudoabsorbance_defined
KYOw02764,B1,6,24679,24678,1,True
KYOw02764,B1,4,727,727,0,True
KYOw02764,B1,5,82,82,0,True
KYOw02764,B1,3,2109,2109,0,True
KYOw02764,B1,7,222,222,0,True
KYOw02764,B1,2,76437,76434,3,True
KYOw02764,B1,8,1183,1183,0,True
KYOw02766,B1,1,3008,3008,0,True
KYOw02766,B1,6,3182,3182,0,True
KYOw02766,B1,4,16639,16639,0,True
KYOw02766,B1,5,4104,4104,0,True
KYOw02766,B1,3,4665,4665,0,True
KYOw02766,B1,7,1410,1410,0,True
KYOw02766,B1,2,11111,11110,1,True
KYOw02766,B1,8,2057,2057,0,True
KYOw02767,B1,1,8601,8601,0,True
KYOw02767,B1,6,541,541,0,True
KYOw02767,B1,4,10375,10375,0,True
KYOw02767,B1,5,10730,10730,0,True
KYOw02767,B1,3,92543,92543,0,True
KYOw02767,B1,7,2753,2753,0,True
KYOw02767,B1,2,26321,26321,0,True
KYOw02767,B1,8,279,279,0,True
KYOw02768,B1,1,34,34,0,True
KYOw02768,B1,6,0,0,0,False
KYOw02768,B1,4,53290,53289,1,True
KYOw02768,B1,5,17,17,0,True
KYOw02768,B1,3,768,768,0,True
KYOw02768,B1,7,10928,10928,0,True
KYOw02768,B1,2,801,801,0,True
KYOw02768,B1,8,54,54,0,True
KYOw02769,B1,1,65891,65891,0,True
KYOw02769,B1,6,4482,4482,0,True
KYOw02769,B1,4,4896,4896,0,True
KYOw02769,B1,5,14760,14760,0,True
KYOw02769,B1,3,5487,5487,0,True
KYOw02769,B1,7,1789,1789,0,True
KYOw02769,B1,2,62201,62201,0,True
KYOw02769,B1,8,2228,2228,0,True
KYOw02770,B1,1,137,137,0,True
KYOw02770,B1,6,9418,9418,0,True
KYOw02770,B1,4,3483,3483,0,True
KYOw02770,B1,5,57,57,0,True
KYOw02770,B1,3,837,837,0,True
KYOw02770,B1,7,2230,2230,0,True
KYOw02770,B1,2,10282,10282,0,True
KYOw02770,B1,8,6959,6959,0,True
KYOw02771,B1,1,58390,58390,0,True
KYOw02771,B1,6,402,402,0,True
KYOw02771,B1,4,1871,1871,0,True
KYOw02771,B1,5,23997,23997,0,True
KYOw02771,B1,3,8442,8442,0,True
KYOw02771,B1,7,589,589,0,True
KYOw02771,B1,2,20392,20392,0,True
KYOw02771,B1,8,13,13,0,True
KYOw02772,B1,1,7491,7491,0,True
KYOw02772,B1,6,3826,3826,0,True
KYOw02772,B1,4,26474,26474,0,True
KYOw02772,B1,5,4747,4747,0,True
KYOw02772,B1,3,3830,3830,0,True
KYOw02772,B1,7,5088,5088,0,True
KYOw02772,B1,2,21222,21221,1,True
KYOw02772,B1,8,533,533,0,True
KYOw02773,B1,1,748,748,0,True
KYOw02773,B1,6,706,706,0,True
KYOw02773,B1,4,2474,2474,0,True
KYOw02773,B1,5,207,207,0,True
KYOw02773,B1,3,596,596,0,True
KYOw02773,B1,7,2367,2367,0,True
KYOw02773,B1,2,44818,44818,0,True
KYOw02773,B1,8,702,702,0,True
KYOw02774,B1,1,4098,4098,0,True
KYOw02774,B1,6,7023,7023,0,True
KYOw02774,B1,4,1566,1566,0,True
KYOw02774,B1,5,3599,3599,0,True
KYOw02774,B1,3,3324,3324,0,True
KYOw02774,B1,7,320,320,0,True
KYOw02774,B1,2,17752,17750,2,True
KYOw02774,B1,8,1245,1245,0,True
KYOw02775,B1,1,836,836,0,True
KYOw02775,B1,6,127,127,0,True
KYOw02775,B1,4,24407,24407,0,True
KYOw02775,B1,5,390,390,0,True
KYOw02775,B1,3,6220,6220,0,True
KYOw02775,B1,7,11289,11289,0,True
KYOw02775,B1,2,7361,7361,0,True
KYOw02775,B1,8,1075,1075,0,True
KYOw02776,B1,1,11309,11309,0,True
KYOw02776,B1,6,1357,1357,0,True
KYOw02776,B1,4,30246,30246,0,True
KYOw02776,B1,5,11999,11999,0,True
KYOw02776,B1,3,29070,29070,0,True
KYOw02776,B1,7,871,871,0,True
KYOw02776,B1,2,6095,6095,0,True
KYOw02776,B1,8,528,528,0,True
KYOw02777,B1,1,26047,26047,0,True
KYOw02777,B1,6,1917,1917,0,True
KYOw02777,B1,4,8170,8170,0,True
KYOw02777,B1,5,27856,27856,0,True
KYOw02777,B1,3,44559,44559,0,True
KYOw02777,B1,7,728,728,0,True
KYOw02777,B1,2,11395,11395,0,True
KYOw02777,B1,8,1015,1015,0,True
KYOw02780,B1,1,8011,8011,0,True
KYOw02780,B1,6,8417,8416,1,True
KYOw02780,B1,4,426,426,0,True
KYOw02780,B1,5,9662,9662,0,True
KYOw02780,B1,3,8229,8229,0,True
KYOw02780,B1,7,88,88,0,True
KYOw02780,B1,2,20518,20517,1,True
KYOw02780,B1,8,1113,1113,0,True
KYOw02783,B1,1,14713,14713,0,True
KYOw02783,B1,6,4193,4193,0,True
KYOw02783,B1,4,2633,2633,0,True
KYOw02783,B1,5,8759,8759,0,True
KYOw02783,B1,3,15970,15970,0,True
KYOw02783,B1,7,2420,2420,0,True
KYOw02783,B1,2,32812,32812,0,True
KYOw02783,B1,8,2718,2718,0,True
KYOw02784,B1,1,37561,37561,0,True
KYOw02784,B1,6,1804,1804,0,True
KYOw02784,B1,4,1845,1845,0,True
KYOw02784,B1,5,25921,25921,0,True
KYOw02784,B1,3,20409,20409,0,True
KYOw02784,B1,7,3418,3418,0,True
KYOw02784,B1,2,25052,25051,1,True
KYOw02784,B1,8,1539,1539,0,True
KYOw02787,B1,1,34993,34993,0,True
KYOw02787,B1,6,1606,1606,0,True
KYOw02787,B1,4,3732,3732,0,True
KYOw02787,B1,5,11414,11414,0,True
KYOw02787,B1,3,8659,8659,0,True
KYOw02787,B1,7,2539,2539,0,True
KYOw02787,B1,2,43091,43091,0,True
KYOw02787,B1,8,650,650,0,True
KYOw02788,B1,1,0,0,0,False
KYOw02788,B1,6,0,0,0,False
KYOw02788,B1,4,111281,111281,0,True
KYOw02788,B1,5,0,0,0,False
KYOw02788,B1,3,72,72,0,True
KYOw02788,B1,7,919,919,0,True
KYOw02788,B1,2,10,10,0,True
KYOw02788,B1,8,12,12,0,True
KYOw02789,B1,1,0,0,0,False
KYOw02789,B1,6,0,0,0,False
KYOw02789,B1,4,125945,125945,0,True
KYOw02789,B1,5,0,0,0,False
KYOw02789,B1,3,0,0,0,False
KYOw02789,B1,7,1,1,0,True
KYOw02789,B1,2,0,0,0,False
KYOw02789,B1,8,0,0,0,False
KYOw02790,B1,1,0,0,0,False
KYOw02790,B1,6,0,0,0,False
KYOw02790,B1,4,22800,22800,0,True
KYOw02790,B1,5,0,0,0,False
KYOw02790,B1,3,326,326,0,True
KYOw02790,B1,7,2707,2707,0,True
KYOw02790,B1,2,0,0,0,False
KYOw02790,B1,8,416,416,0,True
