component,explained_variance,explained_variance_ratio,cumulative_ratio,singular_value
PC1,0.01775998529923541,0.8103446387487927,0.8103446387487927,84.43330159960693
PC2,0.0016471625614567068,0.07515599412583043,0.8855006328746231,25.71347083352717
