condition,original_cluster,display_cluster,snv_cosine_similarity,best_other_target_snv_cosine_similarity,assigned_minus_best_other,iou,overlap_pixels,common_pixels,condition_overlap_pixels,condition_overlap_fraction
M11,1,1,0.9999980946471745,0.9991326110006313,0.0008654836465431526,0.8764522881545244,1228042,3902250,3583628,0.9183491575373182
M11,2,2,0.9996127683851845,0.9863078310875311,0.013304937297653474,0.9410275437600942,86232,3902250,3583628,0.9183491575373182
M11,3,3,0.999985851394256,0.9837391525079113,0.016246698886344668,0.9380255578361915,85002,3902250,3583628,0.9183491575373182
M11,4,4,0.9994129184494502,0.9830442283807401,0.016368690068710112,0.9819490009997043,139478,3902250,3583628,0.9183491575373182
M11,5,5,0.9999534415282939,0.9961923947451077,0.003761046783186228,0.8417646273043013,504116,3902250,3583628,0.9183491575373182
M11,6,7,0.9999661026135742,0.9969481361765613,0.003017966437012909,0.7702795219701114,459045,3902250,3583628,0.9183491575373182
M11,7,6,0.9999579807870542,0.9987854174427844,0.0011725633442698502,0.8206448108866526,815922,3902250,3583628,0.9183491575373182
M11,8,8,0.999985897752019,0.9953518917710256,0.004634005980993394,0.8675943516324253,265791,3902250,3583628,0.9183491575373182
