condition,contrast,cluster,kind,wavelength_nm,difference,aggregation
M11,M11-M00,1,reflectance,1207.9802352941178,-0.0030606276389208986,difference of equal-sample representative means; not paired
M11,M11-M00,1,reflectance,1213.440980392157,-0.0030907576307128704,difference of equal-sample representative means; not paired
M11,M11-M00,1,reflectance,1218.9017254901962,-0.003125156670878426,difference of equal-sample representative means; not paired
M11,M11-M00,1,reflectance,1224.3624705882353,-0.0031308414160874376,difference of equal-sample representative means; not paired
M11,M11-M00,1,reflectance,1229.8232156862746,-0.0031627406886800546,difference of equal-sample representative means; not paired
M11,M11-M00,1,reflectance,1235.2839607843139,-0.003188987759513484,difference of equal-sample representative means; not paired
M11,M11-M00,1,reflectance,1240.7447058823532,-0.0032184658144832623,difference of equal-sample representative means; not paired
M11,M11-M00,1,reflectance,1246.2054509803922,-0.0032442566563122277,difference of equal-sample representative means; not paired
M11,M11-M00,1,reflectance,1251.6661960784315,-0.003256046989145389,difference of equal-sample representative means; not paired
M11,M11-M00,1,reflectance,1257.1269411764706,-0.0032715794762504524,difference of equal-sample representative means; not paired
M11,M11-M00,1,reflectance,1262.58768627451,-0.0032987258255093854,difference of equal-sample representative means; not paired
M11,M11-M00,1,reflectance,1268.0484313725492,-0.0033119086139881126,difference of equal-sample representative means; not paired
M11,M11-M00,1,reflectance,1273.5091764705883,-0.0033091483710169234,difference of equal-sample representative means; not paired
M11,M11-M00,1,reflectance,1278.9699215686276,-0.0032959011850697273,difference of equal-sample representative means; not paired
M11,M11-M00,1,reflectance,1284.4306666666666,-0.0033156596008215855,difference of equal-sample representative means; not paired
M11,M11-M00,1,reflectance,1289.891411764706,-0.00334688967305774,difference of equal-sample representative means; not paired
M11,M11-M00,1,reflectance,1295.3521568627452,-0.003367249000762129,difference of equal-sample representative means; not paired
M11,M11-M00,1,reflectance,1300.8129019607845,-0.0035149169921340206,difference of equal-sample representative means; not paired
M11,M11-M00,1,reflectance,1306.2736470588236,-0.003787263695543386,difference of equal-sample representative means; not paired
M11,M11-M00,1,reflectance,1311.734392156863,-0.0033837735340392916,difference of equal-sample representative means; not paired
M11,M11-M00,1,reflectance,1317.195137254902,-0.0034025491050314605,difference of equal-sample representative means; not paired
M11,M11-M00,1,reflectance,1322.6558823529413,-0.0033994543426832946,difference of equal-sample representative means; not paired
M11,M11-M00,1,reflectance,1328.1166274509806,-0.003384954683363306,difference of equal-sample representative means; not paired
M11,M11-M00,1,reflectance,1333.5773725490199,-0.003369147282538787,difference of equal-sample representative means; not paired
