component,explained_variance,explained_variance_ratio,cumulative_ratio,singular_value
PC1,0.14996549603572018,0.6457376056165892,0.6457376056165892,245.35117661672285
PC2,0.032101124557412104,0.13822448401308113,0.7839620896296704,113.51482768879633
