feature_index,mean,pc1,pc2
0,0.27799478461392296,-0.017027850050392264,-0.13395606259908446
1,0.2264658742941792,0.058842354473251646,-0.031656273184481165
2,-0.3956727322422438,0.4373312987341922,0.3310039825378634
3,-0.18280667868700204,0.00017306450328019585,0.3655857646920512
4,-0.058592055130526274,0.023404822141335106,-0.17543321001901274
5,0.1649638968475558,0.007090522652021161,0.2538078091499153
6,-0.2491613332508236,0.098955996635483,-0.04741232012471984
7,-0.1899180373391525,0.07969077369654018,0.1143672257295226
8,0.2643667047753695,0.016658739030187233,-0.4028553052162727
9,-0.2856519715248801,0.07149856095619261,0.18864980693945138
10,0.16773572862039207,-0.054916535386165755,0.30486490664055327
11,-0.1971775404167011,0.09592846374156042,-0.28153158024040353
12,0.10145622795696049,0.02858882918359514,-0.062304236235179625
13,-0.20833615698746502,-0.06425515528196374,0.4807397144545028
14,0.16791083900350057,0.037630689035054316,0.11586334612619928
15,0.1415261563663674,0.8742300591001535,-0.0938800608270195
