point_id,pc1,pc2,cluster
0,-0.2197886075879991,0.3454968756777559,3
1,-0.3249968570102941,0.3171407916276327,3
2,-0.26148487492796224,0.28510888040559124,3
3,-0.2950931821774697,0.2499659796733068,3
4,-0.292345779885515,0.26834344861176634,3
5,0.46069526484862144,0.3544933141726849,8
6,-0.24278721951655927,0.28135715241761616,3
7,-0.38762564041495207,0.3227424658563246,3
8,-0.1358060332378618,0.1642307863470343,5
9,-0.377472107145008,0.31762862554996524,3
10,-0.2761255858568168,0.2538723832492364,3
11,-0.2812551942996665,0.25290402904481013,3
12,-0.3232266477855763,0.4006371362660156,3
13,-0.27695524515473957,0.4596918748417712,3
14,-0.2662992316250734,0.457653604234083,3
15,-0.40564465779947145,0.5695334891248942,4
16,-0.4272365746242409,0.37729839324801234,3
17,-0.26233355531332947,0.1472756560713819,3
18,-0.30907152736012544,0.19697143771168807,3
19,-0.33954851791331575,0.16093689059981825,3
20,-0.3067670561613607,0.1945441983811161,3
21,-0.3371083215514955,0.20169158668197662,3
22,-0.26439342826475976,0.13880279686601724,3
23,-0.212553742211077,0.17589877693085668,3
24,-0.2678219820438382,0.09381405468778659,6
25,-0.27783828784899556,0.13510770234511132,3
26,-0.3333660055959723,0.3146059035819758,3
27,-0.3195710092669335,0.4330638048950189,3
28,-0.3480532501311565,0.6486889193041414,4
29,0.4829861643374722,0.34698153177735147,8
30,-0.32317610405866193,0.1310683486976866,3
31,-0.3657979937457019,0.13639183388034376,3
32,-0.3191012201852126,0.10671574237962822,3
33,-0.31136358899538474,0.08369203616940524,6
34,-0.2842849714607847,0.07709561654936609,6
35,-0.2534825341314,0.09121715446880913,6
36,0.5059803410345819,0.20363731991233847,1
37,-0.2557491996622542,0.10232607098417335,6
38,-0.29363267682792293,0.11388825695542007,3
39,-0.25860899416599914,0.12980885440256548,3
40,0.5827110079278006,0.25244433555487833,8
41,-0.2646501081423799,0.15264025933743083,3
42,-0.19527672917106667,0.16264040004389235,3
43,-0.27177666706843673,0.27395588421872297,3
44,-0.2863770098844457,0.26121200000160233,3
45,-0.38888905290645115,0.4118690334937565,3
46,-0.3290321947207142,0.1377811972940134,3
47,-0.3159800270463765,0.09564036100456791,6
48,-0.3195145712501585,0.13194967778962277,3
49,-0.2793383506928495,0.09688393814402163,6
50,0.5511713512515215,0.20014521230438456,1
51,-0.3469994505502565,0.1549200740094612,3
52,-0.33990841595298016,0.12279267215609685,3
53,-0.3593649471896032,0.14134855932497367,3
54,-0.3348172775560482,0.06996142526537491,6
55,-0.39443886612245527,0.14210644765704697,3
56,-0.2963081992139064,0.08709232853544868,6
57,-0.2540087490177557,0.0346842705539524,6
58,-0.2596240670969673,0.05296418478650211,6
59,-0.22697760673154008,0.056245260695160115,6
60,-0.27533285286454756,0.06367171909984165,6
61,-0.2445001679992713,0.04471859833128011,6
62,-0.2708907266663847,0.08400661436463053,6
63,-0.3143237083899496,0.22970982924899666,3
64,-0.3263184154830857,0.1831520693481188,3
65,-0.2852774638972836,0.17910497135052827,3
66,-0.3270641609427277,0.15743630587981353,3
67,-0.2908601471161423,0.21065293071825694,3
68,0.5030849088847517,0.18020476909620284,8
69,-0.33924723526915523,0.13257805843921472,3
70,-0.2606407183990279,0.05082853938002313,6
71,-0.27606595897637054,0.043111011335957516,6
72,0.5373488707876746,0.11568163436402559,1
73,-0.3104526839338575,0.05599777842845938,6
74,-0.22585904108976743,0.051710297981449604,6
75,-0.2590091876649697,0.005356900362346484,6
76,-0.4675574116908102,0.4121952520590875,3
77,-0.25008407434375735,0.12985177932236552,3
78,-0.3506843231387179,0.0667940128623396,6
79,-0.3089909347718601,0.05427200121748593,6
80,-0.36866182137781667,0.11268086170663699,3
81,-0.2755572057652752,-0.014289950565052278,6
82,-0.3306498691606474,0.026430791652236996,6
83,0.5163033462020762,0.12571951781868695,1
84,-0.3090661367419547,-0.002633816404546574,6
85,-0.20803107464436174,0.03436373963476286,5
86,-0.20800896208103217,0.011926808014962209,6
87,-0.18659597344248238,-0.013939967413444054,5
