condition,original_cluster,display_cluster,snv_cosine_similarity,best_other_target_snv_cosine_similarity,assigned_minus_best_other,iou,overlap_pixels,common_pixels,condition_overlap_pixels,condition_overlap_fraction
A1,1,1,0.9997657158234006,0.9988821996971851,0.0008835161262155111,0.6018866586282715,967404,3902250,2585757,0.6626323275033634
A1,2,2,0.9987913926758694,0.9862987025123275,0.01249269016354182,0.7171342066843689,73190,3902250,2585757,0.6626323275033634
A1,3,8,0.998331667119166,0.990557119058916,0.007774548060250019,0.0736568591464946,38127,3902250,2585757,0.6626323275033634
A1,4,4,0.9792487379427663,0.9752373045062916,0.004011433436474698,0.9253968583058625,133904,3902250,2585757,0.6626323275033634
A1,5,5,0.9937598966507226,0.9988087179725023,-0.00504882132177964,0.2951028170688221,223443,3902250,2585757,0.6626323275033634
A1,6,6,0.9998865717312666,0.9995689063993596,0.0003176653319070244,0.5534177585311629,658659,3902250,2585757,0.6626323275033634
A1,7,7,0.9999676433761988,0.9955669995035897,0.004400643872609078,0.6690789165194829,428070,3902250,2585757,0.6626323275033634
A1,8,3,0.9921375336374179,0.9658211907421301,0.026316342895287725,0.2422069453687924,62960,3902250,2585757,0.6626323275033634
