sample_id,condition,cluster,pixels,pseudoabsorbance_pixels,pseudoabsorbance_excluded_pixels,pseudoabsorbance_defined
KYOw02764,A1,5,12104,12104,0,True
KYOw02764,A1,6,11130,11130,0,True
KYOw02764,A1,7,13273,13272,1,True
KYOw02764,A1,3,751,751,0,True
KYOw02766,A1,1,8754,8754,0,True
KYOw02766,A1,2,214,214,0,True
KYOw02766,A1,8,3642,3642,0,True
KYOw02766,A1,4,1021,1021,0,True
KYOw02766,A1,5,0,0,0,False
KYOw02766,A1,6,11905,11905,0,True
KYOw02766,A1,7,7504,7503,1,True
KYOw02766,A1,3,13136,13136,0,True
KYOw02767,A1,1,15599,15599,0,True
KYOw02767,A1,2,0,0,0,False
KYOw02767,A1,8,21138,21138,0,True
KYOw02767,A1,4,69,69,0,True
KYOw02767,A1,5,85864,85864,0,True
KYOw02767,A1,6,10747,10747,0,True
KYOw02767,A1,7,16455,16455,0,True
KYOw02767,A1,3,2271,2271,0,True
KYOw02768,A1,1,29,29,0,True
KYOw02768,A1,2,13,13,0,True
KYOw02768,A1,8,1810,1810,0,True
KYOw02768,A1,4,942,941,1,True
KYOw02768,A1,5,32,32,0,True
KYOw02768,A1,6,10160,10160,0,True
KYOw02768,A1,7,9409,9409,0,True
KYOw02768,A1,3,43497,43497,0,True
KYOw02769,A1,1,104725,104725,0,True
KYOw02769,A1,2,47,47,0,True
KYOw02769,A1,8,3455,3455,0,True
KYOw02769,A1,4,86,86,0,True
KYOw02769,A1,5,1876,1876,0,True
KYOw02769,A1,6,6805,6805,0,True
KYOw02769,A1,7,41690,41690,0,True
KYOw02769,A1,3,3050,3050,0,True
KYOw02770,A1,1,1681,1681,0,True
KYOw02770,A1,2,4189,4189,0,True
KYOw02770,A1,8,1479,1479,0,True
KYOw02770,A1,4,2,2,0,True
KYOw02770,A1,5,85,85,0,True
KYOw02770,A1,6,19538,19538,0,True
KYOw02770,A1,7,4260,4260,0,True
KYOw02770,A1,3,2169,2169,0,True
KYOw02771,A1,1,64098,64098,0,True
KYOw02771,A1,2,8,8,0,True
KYOw02771,A1,8,3285,3285,0,True
KYOw02771,A1,4,0,0,0,False
KYOw02771,A1,5,34923,34923,0,True
KYOw02771,A1,6,1379,1379,0,True
KYOw02771,A1,7,9909,9909,0,True
KYOw02771,A1,3,494,494,0,True
KYOw02772,A1,1,18505,18505,0,True
KYOw02772,A1,2,2852,2852,0,True
KYOw02772,A1,8,2713,2713,0,True
KYOw02772,A1,4,136,136,0,True
KYOw02772,A1,5,302,302,0,True
KYOw02772,A1,6,19631,19631,0,True
KYOw02772,A1,7,17298,17297,1,True
KYOw02772,A1,3,11774,11774,0,True
KYOw02773,A1,1,7528,7528,0,True
KYOw02773,A1,2,0,0,0,False
KYOw02773,A1,8,711,711,0,True
KYOw02773,A1,4,0,0,0,False
KYOw02773,A1,5,0,0,0,False
KYOw02773,A1,6,8064,8064,0,True
KYOw02773,A1,7,35199,35199,0,True
KYOw02773,A1,3,1116,1116,0,True
KYOw02774,A1,1,12319,12319,0,True
KYOw02774,A1,2,6855,6854,1,True
KYOw02774,A1,8,2873,2873,0,True
KYOw02774,A1,4,13,13,0,True
KYOw02774,A1,5,271,270,1,True
KYOw02774,A1,6,8287,8287,0,True
KYOw02774,A1,7,7308,7308,0,True
KYOw02774,A1,3,1001,1001,0,True
KYOw02775,A1,1,4478,4478,0,True
KYOw02775,A1,2,0,0,0,False
KYOw02775,A1,8,10391,10391,0,True
KYOw02775,A1,4,0,0,0,False
KYOw02775,A1,5,5,5,0,True
KYOw02775,A1,6,25758,25758,0,True
KYOw02775,A1,7,8859,8859,0,True
KYOw02775,A1,3,2214,2214,0,True
KYOw02776,A1,1,8244,8244,0,True
KYOw02776,A1,2,0,0,0,False
KYOw02776,A1,8,39986,39986,0,True
KYOw02776,A1,4,385,385,0,True
KYOw02776,A1,5,35673,35673,0,True
KYOw02776,A1,6,4420,4420,0,True
KYOw02776,A1,7,714,714,0,True
KYOw02776,A1,3,2053,2053,0,True
KYOw02777,A1,1,4605,4605,0,True
KYOw02777,A1,2,2,2,0,True
KYOw02777,A1,8,12974,12974,0,True
KYOw02777,A1,4,678,678,0,True
KYOw02777,A1,5,95669,95669,0,True
KYOw02777,A1,6,4104,4104,0,True
KYOw02777,A1,7,304,304,0,True
KYOw02777,A1,3,3351,3351,0,True
KYOw02780,A1,1,13075,13074,1,True
KYOw02780,A1,2,0,0,0,False
KYOw02780,A1,8,6237,6237,0,True
KYOw02780,A1,4,0,0,0,False
KYOw02780,A1,5,1834,1834,0,True
KYOw02780,A1,6,23469,23469,0,True
KYOw02780,A1,7,11525,11524,1,True
KYOw02780,A1,3,324,324,0,True
KYOw02783,A1,1,38379,38379,0,True
KYOw02783,A1,2,11,11,0,True
KYOw02783,A1,8,9134,9134,0,True
KYOw02783,A1,4,0,0,0,False
KYOw02783,A1,5,54,54,0,True
KYOw02783,A1,6,12007,12007,0,True
KYOw02783,A1,7,24123,24123,0,True
KYOw02783,A1,3,510,510,0,True
KYOw02784,A1,1,70295,70294,1,True
KYOw02784,A1,2,0,0,0,False
KYOw02784,A1,8,4618,4618,0,True
KYOw02784,A1,4,0,0,0,False
KYOw02784,A1,5,4648,4648,0,True
KYOw02784,A1,6,22963,22963,0,True
KYOw02784,A1,7,14769,14769,0,True
KYOw02784,A1,3,256,256,0,True
KYOw02787,A1,1,34094,34094,0,True
KYOw02787,A1,2,8,8,0,True
KYOw02787,A1,8,4958,4958,0,True
KYOw02787,A1,4,1,1,0,True
KYOw02787,A1,5,58521,58521,0,True
KYOw02787,A1,6,3999,3999,0,True
KYOw02787,A1,7,4940,4940,0,True
KYOw02787,A1,3,163,163,0,True
KYOw02788,A1,1,4,4,0,True
KYOw02788,A1,2,0,0,0,False
KYOw02788,A1,8,5385,5385,0,True
KYOw02788,A1,4,5642,5642,0,True
KYOw02788,A1,5,4,4,0,True
KYOw02788,A1,6,17760,17760,0,True
KYOw02788,A1,7,111,111,0,True
KYOw02788,A1,3,83388,83388,0,True
KYOw02789,A1,1,0,0,0,False
KYOw02789,A1,2,0,0,0,False
KYOw02789,A1,8,4,4,0,True
KYOw02789,A1,4,124898,124898,0,True
KYOw02789,A1,5,512,512,0,True
KYOw02789,A1,6,5,5,0,True
KYOw02789,A1,7,1,1,0,True
KYOw02789,A1,3,526,526,0,True
KYOw02790,A1,1,15,15,0,True
KYOw02790,A1,2,0,0,0,False
KYOw02790,A1,8,3389,3389,0,True
KYOw02790,A1,4,555,555,0,True
KYOw02790,A1,5,4631,4631,0,True
KYOw02790,A1,6,13073,13073,0,True
KYOw02790,A1,7,153,153,0,True
KYOw02790,A1,3,4433,4433,0,True
KYOw16662,A1,1,24918,24918,0,True
KYOw16662,A1,2,186,186,0,True
KYOw16662,A1,8,4783,4783,0,True
KYOw16662,A1,4,369,369,0,True
KYOw16662,A1,5,7,7,0,True
KYOw16662,A1,6,9214,9214,0,True
KYOw16662,A1,7,8265,8265,0,True
KYOw16662,A1,3,1183,1183,0,True
KYOw16666,A1,1,724,724,0,True
KYOw16666,A1,2,0,0,0,False
KYOw16666,A1,8,1742,1742,0,True
KYOw16666,A1,4,2,2,0,True
KYOw16666,A1,5,1,1,0,True
KYOw16666,A1,6,52471,52471,0,True
KYOw16666,A1,7,2077,2077,0,True
KYOw16666,A1,3,1321,1321,0,True
KYOw16700,A1,1,23042,23042,0,True
KYOw16700,A1,2,0,0,0,False
KYOw16700,A1,8,1316,1316,0,True
KYOw16700,A1,4,0,0,0,False
KYOw16700,A1,5,99,99,0,True
KYOw16700,A1,6,7626,7626,0,True
KYOw16700,A1,7,22639,22639,0,True
KYOw16700,A1,3,316,316,0,True
KYOw16702,A1,1,251,251,0,True
KYOw16702,A1,2,47,47,0,True
KYOw16702,A1,8,2793,2793,0,True
KYOw16702,A1,4,662,662,0,True
KYOw16702,A1,5,3,3,0,True
KYOw16702,A1,6,24916,24916,0,True
KYOw16702,A1,7,2192,2192,0,True
KYOw16702,A1,3,3075,3075,0,True
KYOw16711,A1,1,28836,28836,0,True
KYOw16711,A1,2,3,3,0,True
KYOw16711,A1,8,5574,5574,0,True
KYOw16711,A1,4,4,4,0,True
KYOw16711,A1,5,3,3,0,True
KYOw16711,A1,6,21361,21361,0,True
KYOw16711,A1,7,21020,21020,0,True
KYOw16711,A1,3,5211,5211,0,True
KYOw16714,A1,1,18551,18551,0,True
KYOw16714,A1,2,0,0,0,False
KYOw16714,A1,8,2681,2681,0,True
KYOw16714,A1,4,2,2,0,True
