condition,reference_cluster,original_target_cluster,display_target_cluster,snv_cosine_similarity,iou,pixel_count,assigned
A1,1,1,1,0.9997657158234006,0.6018866586282715,967404,True
A1,2,1,1,0.9707881085904969,3.4192328876685366e-05,46,False
A1,3,1,1,0.9137057444299199,6.685877421123361e-06,9,False
A1,4,1,1,0.8781807037170113,1.4314261011960997e-06,2,False
A1,5,1,1,0.9933871880302382,0.0734165266499349,121953,False
A1,6,1,1,0.9995689063993596,0.07792702720347874,153975,False
A1,7,1,1,0.9955669995035897,0.007483690933624341,13688,False
A1,8,1,1,0.9846157653248674,9.151161613408204e-05,141,False
A1,1,2,2,0.983284353319537,0.00023357930373427792,328,False
A1,2,2,2,0.9987913926758694,0.7171342066843689,73190,True
A1,3,2,2,0.8278546198900336,1.704555139517838e-05,3,False
A1,4,2,2,0.7985482686814538,3.523080581660604e-05,8,False
A1,5,2,2,0.9532505249505501,7.179078858918048e-05,44,False
A1,6,2,2,0.9760195056397838,0.010086828395516497,9584,False
A1,7,2,2,0.9907801934909328,0.005851731218156069,3913,False
A1,8,2,2,0.9368374572235654,5.394019650413586e-05,20,False
A1,1,3,8,0.9841350545489291,0.0007681178217185943,1220,False
A1,2,3,8,0.9241083357279982,1.9433755878711153e-05,7,False
A1,3,3,8,0.9658211907421301,0.06748408198995087,22819,False
A1,4,3,8,0.93500310075179,2.4270195229450427e-05,10,False
A1,5,3,8,0.9988087179725023,0.2629829426737074,166140,False
A1,6,3,8,0.9898456605988426,0.03965755577070841,43664,False
A1,7,3,8,0.9693458925678143,6.880458448444958e-05,59,False
A1,8,3,8,0.998331667119166,0.0736568591464946,38127,True
A1,1,4,4,0.7689644566439697,0.0,0,False
A1,2,4,4,0.642584011644977,0.0,0,False
A1,3,4,4,0.9603918494179697,0.013361660052644941,3000,False
A1,4,4,4,0.9792487379427663,0.9253968583058625,133904,True
A1,5,4,4,0.840236662695585,0.0,0,False
A1,6,4,4,0.7906183094575541,0.0,0,False
A1,7,4,4,0.7268903015348793,5.109876147650562e-05,37,False
A1,8,4,4,0.8714995371057463,0.003970027481148312,1670,False
A1,1,5,5,0.998794430647864,0.1227539238822281,193764,False
A1,2,5,5,0.9700514380843894,0.022671363182580194,12036,False
A1,3,5,5,0.9183844597389033,0.0002226073390512144,121,False
A1,4,5,5,0.8847189645857545,0.0009289691976028556,552,False
A1,5,5,5,0.9937598966507226,0.2951028170688221,223443,True
A1,6,5,5,0.9978975655678224,0.0021902439392681066,2901,False
A1,7,5,5,0.9928123907903966,0.019220839787471477,19618,False
A1,8,5,5,0.9845578225274217,0.003167849855870982,2332,False
A1,1,6,6,0.9988821996971851,0.04918129521676602,107517,False
A1,2,6,6,0.9673708197527311,1.59725947856055e-05,17,False
A1,3,6,6,0.9182149685400349,0.0,0,False
A1,4,6,6,0.8866803819513405,2.6877626168056836e-06,3,False
A1,5,6,6,0.9938541275081397,0.008906699302174215,13260,False
A1,6,6,6,0.9998865717312666,0.5534177585311629,658659,True
A1,7,6,6,0.994951323144526,0.08320755868635779,119963,False
A1,8,6,6,0.9878799458305141,0.0648804442453492,76762,False
A1,1,7,7,0.9964163338071583,0.02694871812428249,47230,False
A1,2,7,7,0.9862987025123275,0.005041901335874837,2862,False
A1,3,7,7,0.8706372056810046,0.0,0,False
A1,4,7,7,0.8366967505254475,9.6411561674476e-06,6,False
A1,5,7,7,0.9771007490483636,4.959397413376685e-06,5,False
A1,6,7,7,0.9934952554566354,0.0027514815669976143,3718,False
A1,7,7,7,0.9999676433761988,0.6690789165194829,428070,True
A1,8,7,7,0.9659204750412512,0.0005943035676500322,455,False
A1,1,8,3,0.9479724205395179,5.801009891366422e-06,9,False
A1,2,8,3,0.8634509163016199,3.104153668023182e-06,1,False
A1,3,8,3,0.9921375336374179,0.2422069453687924,62960,True
A1,4,8,3,0.9752373045062916,0.014945342437499322,5507,False
A1,5,8,3,0.9801877914935218,0.0013191256081682998,1001,False
A1,6,8,3,0.9590552013249429,0.00012923726515871783,143,False
A1,7,8,3,0.9251265203005259,0.00020260234164369082,166,False
A1,8,8,3,0.990557119058916,0.4645118218490628,164204,False
