sample_id,file,source_hsi_200_hdr,source_hsi_200_raw,height,width,bands,saved_pixel_count,excluded_pixel_count,hdf5_bytes,uncompressed_reflectance_snv_bytes,preprocessing_id
KYOw02702,samples/KYOw02702.h5,200hz_KYOw02702.hdr,200hz_KYOw02702.raw,666,320,256,62814,0,88701995,128643072,production_v1
KYOw02707,samples/KYOw02707.h5,200hz_KYOw02707.hdr,200hz_KYOw02707.raw,666,320,256,115078,0,161835918,235679744,production_v1
KYOw02708,samples/KYOw02708.h5,200hz_KYOw02708.hdr,200hz_KYOw02708.raw,666,320,256,104647,0,147528358,214317056,production_v1
KYOw02709,samples/KYOw02709.h5,200hz_KYOw02709.hdr,200hz_KYOw02709.raw,666,320,256,40105,0,56661589,82135040,production_v1
KYOw02715,samples/KYOw02715.h5,200hz_KYOw02715.hdr,200hz_KYOw02715.raw,666,320,256,65124,0,91334383,133373952,production_v1
KYOw02716,samples/KYOw02716.h5,200hz_KYOw02716.hdr,200hz_KYOw02716.raw,666,320,256,62799,0,88431030,128612352,production_v1
KYOw02717,samples/KYOw02717.h5,200hz_KYOw02717.hdr,200hz_KYOw02717.raw,666,320,256,82044,0,114993275,168026112,production_v1
KYOw02719,samples/KYOw02719.h5,200hz_KYOw02719.hdr,200hz_KYOw02719.raw,666,320,256,76827,0,108144521,157341696,production_v1
KYOw02720,samples/KYOw02720.h5,200hz_KYOw02720.hdr,200hz_KYOw02720.raw,666,320,256,131174,0,185404506,268644352,production_v1
KYOw02751,samples/KYOw02751.h5,200hz_KYOw02751.hdr,200hz_KYOw02751.raw,666,320,256,71469,0,101223550,146368512,production_v1
KYOw02752,samples/KYOw02752.h5,200hz_KYOw02752.hdr,200hz_KYOw02752.raw,666,320,256,117193,7,166327542,240011264,production_v1
KYOw02754,samples/KYOw02754.h5,200hz_KYOw02754.hdr,200hz_KYOw02754.raw,666,320,256,47242,0,67039144,96751616,production_v1
KYOw02756,samples/KYOw02756.h5,200hz_KYOw02756.hdr,200hz_KYOw02756.raw,666,320,256,101107,0,143642257,207067136,production_v1
KYOw02758,samples/KYOw02758.h5,200hz_KYOw02758.hdr,200hz_KYOw02758.raw,666,320,256,72279,0,103320794,148027392,production_v1
KYOw02759,samples/KYOw02759.h5,200hz_KYOw02759.hdr,200hz_KYOw02759.raw,666,320,256,74466,60,107006217,152506368,production_v1
KYOw02760,samples/KYOw02760.h5,200hz_KYOw02760.hdr,200hz_KYOw02760.raw,666,320,256,50128,3,72671179,102662144,production_v1
KYOw02762,samples/KYOw02762.h5,200hz_KYOw02762.hdr,200hz_KYOw02762.raw,666,320,256,67878,12,98566240,139014144,production_v1
KYOw02763,samples/KYOw02763.h5,200hz_KYOw02763.hdr,200hz_KYOw02763.raw,666,320,256,102462,21,147100804,209842176,production_v1
KYOw02764,samples/KYOw02764.h5,200hz_KYOw02764.hdr,200hz_KYOw02764.raw,666,320,256,105716,115,155711917,216506368,production_v1
KYOw02766,samples/KYOw02766.h5,200hz_KYOw02766.hdr,200hz_KYOw02766.raw,666,320,256,46176,39,66705579,94568448,production_v1
KYOw02767,samples/KYOw02767.h5,200hz_KYOw02767.hdr,200hz_KYOw02767.raw,666,320,256,152143,0,217512308,311588864,production_v1
KYOw02768,samples/KYOw02768.h5,200hz_KYOw02768.hdr,200hz_KYOw02768.raw,666,320,256,65892,51,97196837,134946816,production_v1
KYOw02769,samples/KYOw02769.h5,200hz_KYOw02769.hdr,200hz_KYOw02769.raw,666,320,256,161734,1,231472647,331231232,production_v1
KYOw02770,samples/KYOw02770.h5,200hz_KYOw02770.hdr,200hz_KYOw02770.raw,666,320,256,33403,0,48207843,68409344,production_v1
KYOw02771,samples/KYOw02771.h5,200hz_KYOw02771.hdr,200hz_KYOw02771.raw,666,320,256,114096,0,162292306,233668608,production_v1
KYOw02772,samples/KYOw02772.h5,200hz_KYOw02772.hdr,200hz_KYOw02772.raw,666,320,256,73211,48,106272225,149936128,production_v1
KYOw02773,samples/KYOw02773.h5,200hz_KYOw02773.hdr,200hz_KYOw02773.raw,666,320,256,52618,2,75303999,107761664,production_v1
KYOw02774,samples/KYOw02774.h5,200hz_KYOw02774.hdr,200hz_KYOw02774.raw,666,320,256,38927,15,56635280,79722496,production_v1
KYOw02775,samples/KYOw02775.h5,200hz_KYOw02775.hdr,200hz_KYOw02775.raw,666,320,256,51705,0,74409800,105891840,production_v1
KYOw02776,samples/KYOw02776.h5,200hz_KYOw02776.hdr,200hz_KYOw02776.raw,666,320,256,91475,0,131083768,187340800,production_v1
KYOw02777,samples/KYOw02777.h5,200hz_KYOw02777.hdr,200hz_KYOw02777.raw,666,320,256,121687,0,173692418,249214976,production_v1
KYOw02780,samples/KYOw02780.h5,200hz_KYOw02780.hdr,200hz_KYOw02780.raw,666,320,256,56464,78,81214057,115638272,production_v1
KYOw02783,samples/KYOw02783.h5,200hz_KYOw02783.hdr,200hz_KYOw02783.raw,666,320,256,84218,0,120941839,172478464,production_v1
KYOw02784,samples/KYOw02784.h5,200hz_KYOw02784.hdr,200hz_KYOw02784.raw,666,320,256,117549,15,167785840,240740352,production_v1
KYOw02787,samples/KYOw02787.h5,200hz_KYOw02787.hdr,200hz_KYOw02787.raw,666,320,256,106684,0,151705168,218488832,production_v1
KYOw02788,samples/KYOw02788.h5,200hz_KYOw02788.hdr,200hz_KYOw02788.raw,666,320,256,112294,0,161213797,229978112,production_v1
KYOw02789,samples/KYOw02789.h5,200hz_KYOw02789.hdr,200hz_KYOw02789.raw,666,320,256,125946,0,183013476,257937408,production_v1
KYOw02790,samples/KYOw02790.h5,200hz_KYOw02790.hdr,200hz_KYOw02790.raw,666,320,256,26249,0,37439578,53757952,production_v1
KYOw16662,samples/KYOw16662.h5,200hz_KYOw16662.hdr,200hz_KYOw16662.raw,666,320,256,48925,0,70002152,100198400,production_v1
KYOw16666,samples/KYOw16666.h5,200hz_KYOw16666.hdr,200hz_KYOw16666.raw,666,320,256,58338,0,82525217,119476224,production_v1
KYOw16700,samples/KYOw16700.h5,200hz_KYOw16700.hdr,200hz_KYOw16700.raw,666,320,256,55038,4,78665072,112717824,production_v1
KYOw16702,samples/KYOw16702.h5,200hz_KYOw16702.hdr,200hz_KYOw16702.raw,666,320,256,33939,0,48187079,69507072,production_v1
KYOw16711,samples/KYOw16711.h5,200hz_KYOw16711.hdr,200hz_KYOw16711.raw,666,320,256,82012,1,117766832,167960576,production_v1
KYOw16714,samples/KYOw16714.h5,200hz_KYOw16714.hdr,200hz_KYOw16714.raw,666,320,256,46127,5,65742900,94468096,production_v1
KYOw16716,samples/KYOw16716.h5,200hz_KYOw16716.hdr,200hz_KYOw16716.raw,666,320,256,80056,2,113886286,163954688,production_v1
KYOw16719,samples/KYOw16719.h5,200hz_KYOw16719.hdr,200hz_KYOw16719.raw,666,320,256,81497,1,115479282,166905856,production_v1
